0f8faf2e-3c29-423e-a0ec-80324df80e84, [14:09:17:802:50957802:802077000, Cliente 2]
7b35c832-d91b-47d0-81ae-0ab2c4d46b53, [14:09:17:802:50957802:802077000, Cliente 2]
8710d0fe-71f6-4dde-b646-f2f284146bad, [14:09:17:802:50957802:802077000, Cliente 2]
db6f84ae-5791-4b0f-8dff-a54134f51e5a, [14:09:17:802:50957802:802077000, Cliente 2]
2a01c3a1-a8a7-4372-90f9-38cbf77007f9, [14:09:17:802:50957802:802077000, Cliente 2]
f0bf184b-8d05-41c3-917c-4735c3b45ff9, [14:09:17:802:50957802:802077000, Cliente 2]
733d9c04-661f-48e2-a04c-6b6bcc696d0f, [14:09:17:802:50957802:802077000, Cliente 2]
bcb82736-15b3-4ab2-87ca-ea14085c7e43, [14:09:17:802:50957802:802077000, Cliente 2]
469bf61b-ab3d-4d8f-b11c-6eae077a6b89, [14:09:17:802:50957802:802077000, Cliente 2]
34603e7d-0b43-4fc2-896d-6b5721541190, [14:09:17:802:50957802:802077000, Cliente 2]
eec726a8-af8c-4547-af45-1184bab73eca, [14:09:17:802:50957802:802077000, Cliente 2]
a629f5dd-065a-4b42-b8c3-6d4ea507f096, [14:09:17:802:50957802:802077000, Cliente 2]
17ad5f40-8ea5-4f00-82c4-48bf2ed4c549, [14:09:17:802:50957802:802077000, Cliente 2]
b7a897d7-2257-4969-8285-6826c4db50f5, [14:09:17:802:50957802:802077000, Cliente 2]
4f2dc81b-7a5b-42c8-a447-305555a53f3b, [14:09:17:802:50957802:802077000, Cliente 2]
18f4fcb1-0ede-4d87-9434-b91cfe047018, [14:09:17:802:50957802:802077000, Cliente 2]
2b5eb9d9-8f71-4738-b628-5c4b747b36c8, [14:09:17:802:50957802:802077000, Cliente 2]
0adb3a2a-8f21-409f-a0cf-0682570d503e, [14:09:17:802:50957802:802077000, Cliente 2]
15ba7e9c-8943-45c3-8efc-411ae7743a6e, [14:09:17:802:50957802:802077000, Cliente 2]
953dbb8e-b848-4ea7-81d1-93d7b411e423, [14:09:17:802:50957802:802077000, Cliente 2]
e1a3d69d-65cc-4fb6-bb44-73fa9572a3e1, [14:09:17:802:50957802:802077000, Cliente 2]
4c3f41fe-5c70-4bad-82cd-f544a746b050, [14:09:17:802:50957802:802077000, Cliente 2]
173581b6-7ed1-47ce-909f-20f41f571b4f, [14:09:17:802:50957802:802077000, Cliente 2]
8c7af589-d918-4329-a06b-80fc634b4ff2, [14:09:17:802:50957802:802077000, Cliente 2]
18c385f1-adcd-4260-83de-1b6ef5808224, [14:09:17:802:50957802:802077000, Cliente 2]
a99bd320-d384-4137-8b77-464e86e25e23, [14:09:17:802:50957802:802077000, Cliente 2]
936d0bfd-c9b4-4e3c-93c0-56f407e84f0a, [14:09:17:802:50957802:802077000, Cliente 2]
8fde1ba5-dcbe-4a1e-95c8-704acd68e5eb, [14:09:17:802:50957802:802077000, Cliente 2]
4583517f-7270-4caa-a88b-babe2392f9b3, [14:09:17:802:50957802:802077000, Cliente 2]
447b7ba6-182f-4526-b383-a0961b4cc041, [14:09:17:802:50957802:802077000, Cliente 2]
2d1dce15-4373-40fb-8b3a-852c113c9ecd, [14:09:18:809:50958809:809253000, Cliente 3]
8d82a2fe-3072-4e9d-b84c-b2d12529bb31, [14:09:18:809:50958809:809253000, Cliente 3]
f6d69ae8-7af9-4ea5-a9a2-98a3ee130915, [14:09:18:809:50958809:809253000, Cliente 3]
dd39ccbc-8744-4977-9633-570c7d13167a, [14:09:18:809:50958809:809253000, Cliente 3]
b461547a-7488-4e12-812c-196f975c7e42, [14:09:18:809:50958809:809253000, Cliente 3]
cd1cbba8-783d-4e0f-995b-e9f27af2dfac, [14:09:18:809:50958809:809253000, Cliente 3]
cbfc8ccc-ff0a-4bdb-8aa0-47315919746f, [14:09:18:809:50958809:809253000, Cliente 3]
e2f98fd3-3871-48e6-99af-32bf98eaf17a, [14:09:18:809:50958809:809253000, Cliente 3]
deef614d-c1d8-4519-b04c-b7991c391ebb, [14:09:18:809:50958809:809253000, Cliente 3]
c6180a53-7bad-45d3-ad69-90ba7db88dcf, [14:09:18:809:50958809:809253000, Cliente 3]
a7fc22a9-4017-4214-a6b0-b028292a6dc9, [14:09:18:809:50958809:809253000, Cliente 3]
69caacd6-2dd8-427a-8011-e0e761297921, [14:09:18:809:50958809:809253000, Cliente 3]
6c649ad0-b29c-448b-ae3c-e835a03bbecf, [14:09:18:809:50958809:809253000, Cliente 3]
8533075a-1c09-468b-a46b-48245c9c2255, [14:09:18:809:50958809:809253000, Cliente 3]
32dd4dc7-a883-4f8c-990d-5abfca00adf8, [14:09:18:809:50958809:809253000, Cliente 3]
35e37a31-2171-4742-8fbf-bc2c8ba36813, [14:09:18:809:50958809:809253000, Cliente 3]
404e72b1-d684-4a39-a1a7-a499866f0176, [14:09:18:809:50958809:809253000, Cliente 3]
356c115a-d65b-420e-a9dc-d65b007f1c5f, [14:09:18:809:50958809:809253000, Cliente 3]
6368f369-e0b1-48cc-bd5c-fd1e7cb9422f, [14:09:18:809:50958809:809253000, Cliente 3]
bffdafd9-a1a4-4f00-8cd7-5b64dbc3bbcf, [14:09:18:809:50958809:809253000, Cliente 3]
c6e9f8b5-b594-429d-96f7-c08c73c4407a, [14:09:18:809:50958809:809253000, Cliente 3]
c8c354af-31a9-48f8-8fb8-a6e2460dd9bd, [14:09:18:809:50958809:809253000, Cliente 3]
089ddcbf-e1ff-41c3-9d1a-11057016affd, [14:09:18:809:50958809:809253000, Cliente 3]
98d21592-92c2-4d71-8a7b-d1ba6515a7a3, [14:09:18:809:50958809:809253000, Cliente 3]
0e1fbf68-907c-49c1-a45e-7f8c24403eba, [14:09:18:809:50958809:809253000, Cliente 3]
9c73c957-a4f9-4e9f-9073-a9428690a176, [14:09:18:809:50958809:809253000, Cliente 3]
668982e7-cf76-4bfa-a0b5-a9c54ed1a513, [14:09:18:809:50958809:809253000, Cliente 3]
9146246d-7134-4d2a-aae4-28fb1e3d6160, [14:09:18:809:50958809:809253000, Cliente 3]
