c6f601c7-6265-415b-89f9-457fdfbf569b, [20:29:18:022:73758022:022075000, Cliente 1]
e5ac88c4-cfbf-4d64-b23e-bc1427efd06e, [20:29:18:022:73758022:022075000, Cliente 1]
77b43082-0426-4500-8537-cbe4a402c900, [20:29:18:022:73758022:022075000, Cliente 1]
f702ca8c-8471-4ae7-ab6e-32afcf1d8984, [20:29:18:022:73758022:022075000, Cliente 1]
5e0d40a2-4e9e-4f51-acb5-2754a7214882, [20:29:18:022:73758022:022075000, Cliente 1]
3a3c68d9-c7fe-445e-8f77-f0c3a3188a1a, [20:29:18:022:73758022:022075000, Cliente 1]
deab1f67-2d09-4158-85e9-6bb9ceee555a, [20:29:18:022:73758022:022075000, Cliente 1]
95beab76-d1d5-4307-9a51-d8ba7e994279, [20:29:18:022:73758022:022075000, Cliente 1]
c4ef243d-fef7-4f08-98f0-5d2b86e551e5, [20:29:18:022:73758022:022075000, Cliente 1]
077888ca-a291-4e2c-b1b2-d9574f0d188c, [20:29:18:022:73758022:022075000, Cliente 1]
91f81656-d03d-4e00-8cfe-046e70c4d191, [20:29:18:022:73758022:022075000, Cliente 1]
778ba539-ecdd-4d07-9dde-c990196de6c4, [20:29:18:022:73758022:022075000, Cliente 1]
e50c5f44-d7ee-49a2-af16-bd4449e88db2, [20:29:18:022:73758022:022075000, Cliente 1]
a972efcf-97f5-47e4-b19c-1a067b177075, [20:29:18:022:73758022:022075000, Cliente 1]
30868282-3f9e-4e5b-a795-b5e793a92807, [20:29:18:022:73758022:022075000, Cliente 1]
f4dad5ad-fc3e-4c1a-a3af-4de642bb5ca7, [20:29:18:022:73758022:022075000, Cliente 1]
5a014d2f-6cc6-4e34-bb29-23416b39841b, [20:29:18:022:73758022:022075000, Cliente 1]
6301016c-e4b3-4d72-8cf0-a0a5ea567a27, [20:29:18:022:73758022:022075000, Cliente 1]
19bc61d6-307e-4989-b8f2-0236fba6c025, [20:29:18:022:73758022:022075000, Cliente 1]
dea01770-283f-46bd-94e7-c22d8e357fae, [20:29:18:022:73758022:022075000, Cliente 1]
522fd36a-de55-4483-b731-83abd32c0af9, [20:29:18:022:73758022:022075000, Cliente 1]
22f6c09e-2dc6-4663-832f-84b740ec7c24, [20:29:18:022:73758022:022075000, Cliente 1]
462b968d-c700-4cc5-9b3a-5518eb0ae7b7, [20:29:18:022:73758022:022075000, Cliente 1]
3b905e9d-ac75-470f-996b-4cd4676bb977, [20:29:18:022:73758022:022075000, Cliente 1]
4fb1d8ac-355b-4253-b886-a72d75122da4, [20:29:18:022:73758022:022075000, Cliente 1]
50a99fd0-5fce-47cd-93d3-f986cf4a11f3, [20:29:18:022:73758022:022075000, Cliente 1]
3cfad59c-7814-43a0-bfd7-5cbc571f93d3, [20:29:18:022:73758022:022075000, Cliente 1]
2b8ecd50-05cc-4f50-9514-1f84999fdcd1, [20:29:18:022:73758022:022075000, Cliente 1]
f0ec3ed2-267b-4c3b-be2c-a7431310b8b8, [20:29:18:022:73758022:022075000, Cliente 1]
e12121d3-b8ca-40d3-9b7c-235904536ded, [20:29:18:022:73758022:022075000, Cliente 1]
76008d3f-4258-4b20-9bc7-61993cbe7fc0, [20:29:18:022:73758022:022075000, Cliente 1]
598b76bf-5562-4059-a059-36f838e0c542, [20:29:18:022:73758022:022075000, Cliente 1]
7beaf98a-df4f-4e42-8792-46b51455e633, [20:29:18:022:73758022:022075000, Cliente 1]
a70f0bf3-f57e-435c-b5a4-7f1e5b49d96a, [20:29:18:022:73758022:022075000, Cliente 1]
170d638b-b895-4316-b1ae-ef6e0bab640f, [20:29:18:022:73758022:022075000, Cliente 1]
c6c67a61-8c96-4ac8-9654-aa86ee38cc89, [20:29:18:022:73758022:022075000, Cliente 1]
7fb2b2a8-9a64-4dd7-a831-abf01984a150, [20:29:18:022:73758022:022075000, Cliente 1]
9783ce0e-c1e9-49dd-8e20-5c7ccf2959cc, [20:29:18:022:73758022:022075000, Cliente 1]
3000759e-7ec7-4850-a5f4-40f201baa78c, [20:29:18:022:73758022:022075000, Cliente 1]
7e9f961c-aa18-45da-831d-81db7b1d3113, [20:29:19:019:73759019:019934000, Cliente 2]
882b2ea0-4b86-4e1a-96b1-427052f2d696, [20:29:19:019:73759019:019934000, Cliente 2]
d43d648a-fdf7-4bab-8032-af1012cc2e46, [20:29:19:019:73759019:019934000, Cliente 2]
5c81123a-dd8a-463a-9df5-3cf2ba5211af, [20:29:19:019:73759019:019934000, Cliente 2]
bc9febda-2d01-45ba-8bcf-b852340f0635, [20:29:19:019:73759019:019934000, Cliente 2]
c46b9bff-bbaf-43ce-9125-9f10685ed52f, [20:29:19:019:73759019:019934000, Cliente 2]
5a9bc3fe-73f6-4a2e-9253-b3e2e430ed8c, [20:29:19:019:73759019:019934000, Cliente 2]
caa5039a-d0d9-49e8-83ea-86ab392f6558, [20:29:19:019:73759019:019934000, Cliente 2]
cac39fab-2e98-4043-8b0b-d97363eab2a2, [20:29:19:019:73759019:019934000, Cliente 2]
6fffad6e-d792-470c-8cd4-2618846624fa, [20:29:19:019:73759019:019934000, Cliente 2]
c198def4-bf70-49da-9fe9-25a6dbfa6fea, [20:29:19:019:73759019:019934000, Cliente 2]
c9161e8c-e447-4eaf-a0ee-862557981cb4, [20:29:19:019:73759019:019934000, Cliente 2]
629f1cfb-1922-4aa4-90c7-312c6bab4e33, [20:29:19:019:73759019:019934000, Cliente 2]
418f22fe-83c8-465b-b48c-f10a1ea81fc9, [20:29:19:019:73759019:019934000, Cliente 2]
35e0cf60-3627-4a72-bc3f-2353537448bb, [20:29:19:019:73759019:019934000, Cliente 2]
300f462f-f35c-4991-967f-60389182bb2f, [20:29:19:019:73759019:019934000, Cliente 2]
35b64d55-f2e0-4ba2-8d23-6ffe64db0326, [20:29:19:019:73759019:019934000, Cliente 2]
c1a04e2b-9fdc-4661-995f-93b72e2e240d, [20:29:19:019:73759019:019934000, Cliente 2]
d4881a00-27e5-484a-a466-dc1e9b3d231d, [20:29:19:019:73759019:019934000, Cliente 2]
deca7a7d-a1ee-43a3-bf81-d0f6521a33fd, [20:29:19:019:73759019:019934000, Cliente 2]
1a1af4cb-31ed-42d6-9a74-d7d579381bcb, [20:29:19:019:73759019:019934000, Cliente 2]
bfd1aac4-d933-4415-865e-f6ce4d579496, [20:29:19:019:73759019:019934000, Cliente 2]
324fc5c4-885e-40c7-abeb-f43c7f03e705, [20:29:19:019:73759019:019934000, Cliente 2]
9ecdce3d-e6e4-4561-8b31-090d9e76353b, [20:29:19:019:73759019:019934000, Cliente 2]
9734e845-dd38-45ca-b0be-d80022fa0018, [20:29:19:019:73759019:019934000, Cliente 2]
0e67d4e0-f5bb-45f1-b6a2-d33a315479d4, [20:29:19:019:73759019:019934000, Cliente 2]
e89b2e23-4ce2-420e-a9ff-f7c675b0f6c5, [20:29:19:019:73759019:019934000, Cliente 2]
df2bffae-e375-429b-ad21-c2c6349697d0, [20:29:19:019:73759019:019934000, Cliente 2]
435a0266-a204-4d29-af6c-00867f2372f5, [20:29:19:019:73759019:019934000, Cliente 2]
52cc771c-decd-47ae-ada2-8f6739d8d0dc, [20:29:19:019:73759019:019934000, Cliente 2]
56c934a8-49a9-4ef7-ac54-490735f54c90, [20:29:19:019:73759019:019934000, Cliente 2]
ef93cc46-5ae8-4b9e-a6d6-187bed0d8921, [20:29:19:019:73759019:019934000, Cliente 2]
eca94d80-1af7-42f0-8360-d4510442e49a, [20:29:19:019:73759019:019934000, Cliente 2]
9fa7c910-93a0-4933-9de3-f9de36a257d9, [20:29:19:019:73759019:019934000, Cliente 2]
d472a903-c2a3-4be8-ac59-a49e05273344, [20:29:19:019:73759019:019934000, Cliente 2]
9325f3d3-0ed3-44ca-b6ea-f40c57122928, [20:29:19:019:73759019:019934000, Cliente 2]
fcd74e86-f765-4978-b0d3-ebb08bcbd29f, [20:29:19:019:73759019:019934000, Cliente 2]
6d4fa676-ea49-41ce-b764-fdf06ff6d254, [20:29:19:019:73759019:019934000, Cliente 2]
e4110eef-bb22-4049-9240-db0d490b0c09, [20:29:19:019:73759019:019934000, Cliente 2]
dc4bb687-30ca-4be5-8280-c5ffda9d5e31, [20:29:19:019:73759019:019934000, Cliente 2]
005dff6d-51fa-40e0-9b25-299fd027d096, [20:29:19:019:73759019:019934000, Cliente 2]
0a8486e8-370b-418b-8fb3-05210aa03eb2, [20:29:19:019:73759019:019934000, Cliente 2]
ef8961f0-6f45-4dc6-8b77-fdc4d3b61fcc, [20:29:19:019:73759019:019934000, Cliente 2]
23bf2a09-f13b-4011-bc79-648201019d69, [20:29:19:019:73759019:019934000, Cliente 2]
683c39d8-f04d-4719-9bad-5b4de31d0084, [20:29:19:019:73759019:019934000, Cliente 2]
291079d6-cc07-47aa-8882-1982a8443d88, [20:29:19:019:73759019:019934000, Cliente 2]
982f1747-4d90-4da4-b017-d325d39d28b1, [20:29:19:019:73759019:019934000, Cliente 2]
c180efd5-5f67-4d58-8fef-76d6d377d5a2, [20:29:19:019:73759019:019934000, Cliente 2]
7f533290-15a7-4fa9-8630-be4b2ad7a8b5, [20:29:19:019:73759019:019934000, Cliente 2]
1e2302cd-7629-489a-baea-3bde83748d54, [20:29:19:019:73759019:019934000, Cliente 2]
9bc99717-6348-451d-9718-505147ec149e, [20:29:20:034:73760034:034557000, Cliente 3]
6a659ed4-41bc-4d78-975e-e4248e4b0869, [20:29:20:034:73760034:034557000, Cliente 3]
2101fa63-2ac8-4172-837a-03ddb738b5e3, [20:29:20:034:73760034:034557000, Cliente 3]
8b8146ed-1de5-4c41-b5d4-c3f8e16573e7, [20:29:20:034:73760034:034557000, Cliente 3]
715dfe08-f3bf-4ac1-973c-43c28c8bd6e8, [20:29:20:034:73760034:034557000, Cliente 3]
df466d70-76da-4817-9fd0-354c15b5e712, [20:29:20:034:73760034:034557000, Cliente 3]
097578e6-aab3-4241-bd4d-4c890b0ba95d, [20:29:20:034:73760034:034557000, Cliente 3]
c756f7f0-6ed5-4c6b-97b5-dc4381e77619, [20:29:20:034:73760034:034557000, Cliente 3]
a0639757-3a6b-4693-89cd-7842278d3525, [20:29:20:034:73760034:034557000, Cliente 3]
e8cb60f9-db4a-462f-9269-b1b4f73b6ab1, [20:29:20:034:73760034:034557000, Cliente 3]
91107309-e7a4-44c9-af17-f01674bf4f6e, [20:29:20:034:73760034:034557000, Cliente 3]
f412ffa8-cedc-4c89-952d-91091abed6df, [20:29:20:034:73760034:034557000, Cliente 3]
a9125d77-64ba-4936-878f-6170ee74076c, [20:29:20:034:73760034:034557000, Cliente 3]
99e490ea-2326-4e9f-9967-9c09a65f2f6f, [20:29:20:034:73760034:034557000, Cliente 3]
bd44123b-c7b2-4f3d-886c-e1eae0c54aa0, [20:29:20:034:73760034:034557000, Cliente 3]
eae867d5-3a9b-492d-8b7f-02503f6bd3d2, [20:29:20:034:73760034:034557000, Cliente 3]
ea0c1306-b5da-4d97-9459-c953e13b6b79, [20:29:20:034:73760034:034557000, Cliente 3]
77509b69-584a-4d6c-8da0-a710fbf28db3, [20:29:20:034:73760034:034557000, Cliente 3]
33316997-e150-42f8-82ca-9759d185dcab, [20:29:20:034:73760034:034557000, Cliente 3]
eb2b164b-5959-4475-aaf8-1c39185818c6, [20:29:20:034:73760034:034557000, Cliente 3]
d17a423d-55de-47ae-8d72-42cdbf42ff7e, [20:29:20:034:73760034:034557000, Cliente 3]
f0bb817d-5994-4cd5-974f-e998acf5873e, [20:29:20:034:73760034:034557000, Cliente 3]
518e421b-46f0-4afa-9068-fe99c649ca67, [20:29:20:034:73760034:034557000, Cliente 3]
5b873aa1-ad62-448e-9b3d-729ba37733d8, [20:29:20:034:73760034:034557000, Cliente 3]
0ca28182-4b00-4685-aa57-978ebe2987e7, [20:29:20:034:73760034:034557000, Cliente 3]
91750e7c-b5cb-436e-bc88-cf7ed4706946, [20:29:20:034:73760034:034557000, Cliente 3]
51ff744f-d183-41a7-95e0-c00d11681fef, [20:29:20:034:73760034:034557000, Cliente 3]
29f46b13-babd-4086-abbc-be6a39bfca3f, [20:29:20:034:73760034:034557000, Cliente 3]
6b4cca3a-9adc-4514-adb8-0e1210170dc0, [20:29:20:034:73760034:034557000, Cliente 3]
7eb0ef9d-efa6-435e-9982-7164e052ae3f, [20:29:20:034:73760034:034557000, Cliente 3]
a81b5d63-b4ac-43a2-9c2e-41c7b65cdaa7, [20:29:20:034:73760034:034557000, Cliente 3]
c1e574d0-7209-49e4-afc1-8b193f6816db, [20:29:20:034:73760034:034557000, Cliente 3]
b36ecfd8-f535-46d9-b6a0-0d3b7ae1f01d, [20:29:20:034:73760034:034557000, Cliente 3]
32857195-158e-47ff-abef-f618ebd9abde, [20:29:20:034:73760034:034557000, Cliente 3]
4ae6fa2a-c579-4355-9247-d2cd8a7a04f4, [20:29:20:034:73760034:034557000, Cliente 3]
36756eca-c605-47ea-a4ed-6648f92751a7, [20:29:20:034:73760034:034557000, Cliente 3]
5d7b3674-303f-4f23-b826-6abee6ef4ef8, [20:29:20:034:73760034:034557000, Cliente 3]
6af5682d-a377-4a1f-bc0b-61460d23672e, [20:29:20:034:73760034:034557000, Cliente 3]
337febc5-5ec5-4470-bf41-3ac084260578, [20:29:20:034:73760034:034557000, Cliente 3]
d2ac4fe3-b268-44cf-9f20-7941e0df452f, [20:29:20:034:73760034:034557000, Cliente 3]
07c57169-b9f9-4133-b220-978da98a35a3, [20:29:20:034:73760034:034557000, Cliente 3]
b9756bcc-fe97-4529-b5c4-5873021f7bc7, [20:29:20:034:73760034:034557000, Cliente 3]
2a2a02e8-9157-44b9-b776-77e2b27c7b7f, [20:29:20:034:73760034:034557000, Cliente 3]
e7156d67-ff07-4325-ba13-5e4e8dac655b, [20:29:20:034:73760034:034557000, Cliente 3]
f0749b2c-83f2-4290-a226-f4e9d3f5acae, [20:29:20:034:73760034:034557000, Cliente 3]
58e1d300-4f71-446b-90eb-b1260f732c30, [20:29:20:034:73760034:034557000, Cliente 3]
e02612fe-9f76-4a2c-9e13-93e973442644, [20:29:20:034:73760034:034557000, Cliente 3]
591f502b-0e87-450f-a4d2-aafff8bcf600, [20:29:20:034:73760034:034557000, Cliente 3]
20dc6af3-fe09-46f1-a0ad-aebf9fdad993, [20:29:20:034:73760034:034557000, Cliente 3]
d6c9b8ee-5f63-4691-99ca-472e7d74ef12, [20:29:20:034:73760034:034557000, Cliente 3]
5d657da0-e8f6-40b2-b8ae-9b47aeb5aa1a, [20:29:21:067:73761067:067429000, Cliente 4]
93a637d4-d904-496d-a19d-0d53d56e697a, [20:29:21:067:73761067:067429000, Cliente 4]
368f7055-17ef-4b0a-8ee9-6c90af037ef1, [20:29:21:067:73761067:067429000, Cliente 4]
1931bdd8-74bf-477e-b2f8-402e5a6a0e98, [20:29:21:067:73761067:067429000, Cliente 4]
b188f699-7011-4caf-b2d9-90bdab2af92d, [20:29:21:067:73761067:067429000, Cliente 4]
12839613-581a-4d16-8397-a96faa3cdca4, [20:29:21:067:73761067:067429000, Cliente 4]
ea6447ae-83a8-45ed-b31f-9d6c8d0d3f21, [20:29:21:067:73761067:067429000, Cliente 4]
73947cea-0dca-4355-9f54-7a469cd5638e, [20:29:21:067:73761067:067429000, Cliente 4]
