6a3b9f52-5bb2-47f6-b354-a6b04a7c7068, [13:09:28:570:47368570:570657000, Cliente 1]
cb0f5ef5-35ec-4bd8-888c-919460661d6c, [13:09:28:570:47368570:570657000, Cliente 1]
9e1fef52-946c-4558-ae0c-fac31ab4f04d, [13:09:28:570:47368570:570657000, Cliente 1]
0a51a07b-584b-4cbe-974b-7b12cf2e972e, [13:09:28:570:47368570:570657000, Cliente 1]
2ce92a97-7f7f-4783-b1d4-d71e46d1317c, [13:09:28:570:47368570:570657000, Cliente 1]
7b10e175-bc89-47e2-b652-5136e27bdf23, [13:09:28:570:47368570:570657000, Cliente 1]
c3d3d19e-67c1-486b-806e-0dc6241fe679, [13:09:28:570:47368570:570657000, Cliente 1]
80016ba8-9c30-4a81-ab12-325567fef9d3, [13:09:28:570:47368570:570657000, Cliente 1]
a7282f6b-ad8e-4ef2-a03c-3471276a7a74, [13:09:28:570:47368570:570657000, Cliente 1]
f35c88b4-6448-4b8b-9e8e-527ac603a0cf, [13:09:28:570:47368570:570657000, Cliente 1]
9c946a07-7e6b-4ec5-b4d2-8d85f5614c95, [13:09:28:570:47368570:570657000, Cliente 1]
5ed1e03d-b367-467d-bec0-159bf806bb80, [13:09:28:570:47368570:570657000, Cliente 1]
359cc301-ef55-46b5-a5a9-18ded161a573, [13:09:28:570:47368570:570657000, Cliente 1]
83419300-7801-4290-9df8-1c4c6332bf52, [13:09:28:570:47368570:570657000, Cliente 1]
3b3417b1-ccb0-4233-bc92-272235701492, [13:09:28:570:47368570:570657000, Cliente 1]
821477a4-4f40-4ab2-a254-147fbf6048f7, [13:09:28:570:47368570:570657000, Cliente 1]
3318d4c6-63d8-4b13-af56-99e5346f8f40, [13:09:28:570:47368570:570657000, Cliente 1]
36fc70dc-7de0-4709-a2a1-6dfcc2b35ab6, [13:09:28:570:47368570:570657000, Cliente 1]
525e74ee-8831-46ca-a9fb-937e85226dd9, [13:09:28:570:47368570:570657000, Cliente 1]
270b4322-ee3a-4507-956f-9b2f78d5fa62, [13:09:28:570:47368570:570657000, Cliente 1]
ea06ae0e-6c6e-41cd-80c6-581b688dc85f, [13:09:28:570:47368570:570657000, Cliente 1]
aa7ca519-2d1a-4a27-91d3-ecc5d400f699, [13:09:28:570:47368570:570657000, Cliente 1]
05a425df-744d-4656-acf8-92ac8fc1010a, [13:09:28:570:47368570:570657000, Cliente 1]
2eeea619-b584-4cb0-a337-6086d8195b03, [13:09:28:570:47368570:570657000, Cliente 1]
76d2f1eb-081e-4835-9f8e-88d67c6f5c9c, [13:09:28:570:47368570:570657000, Cliente 1]
aab3b4da-188d-4c17-9608-4b4de307f7a6, [13:09:28:570:47368570:570657000, Cliente 1]
2fbb88b8-188a-4fd3-bbf8-91b349f2f6c7, [13:09:28:570:47368570:570657000, Cliente 1]
