395c7f57-695c-4333-bd20-e87829de187a, [19:58:00:567:71880567:567063000, Cliente 1]
c2ed08a6-5629-4153-99a5-f1a803a4e92d, [19:58:00:567:71880567:567063000, Cliente 1]
404d06b3-dc86-410e-8cd5-965572b8e2bc, [19:58:00:567:71880567:567063000, Cliente 1]
a9073438-3624-423b-96d3-a94b5c4173a1, [19:58:00:567:71880567:567063000, Cliente 1]
9eac8a54-735b-4727-9c97-06718780eb7d, [19:58:00:567:71880567:567063000, Cliente 1]
4a4dd502-1c21-4110-9bca-83734fe531ca, [19:58:00:567:71880567:567063000, Cliente 1]
ccba4dcf-880e-4c55-af10-0cbe5e762c1a, [19:58:00:567:71880567:567063000, Cliente 1]
b51f6721-a297-4e5a-893d-26579dc3654b, [19:58:00:567:71880567:567063000, Cliente 1]
2d00c3eb-b961-454f-97e4-296138d3685d, [19:58:00:567:71880567:567063000, Cliente 1]
556958ab-ad9b-4bab-a895-1aff69142fe6, [19:58:00:567:71880567:567063000, Cliente 1]
0c0aae83-3fcb-4a34-9185-b9922b3bb122, [19:58:00:567:71880567:567063000, Cliente 1]
de4181c5-2a31-4d75-9a28-c4d9050603a5, [19:58:00:567:71880567:567063000, Cliente 1]
e45b2ed4-7868-4f45-806c-2593c79bc134, [19:58:00:567:71880567:567063000, Cliente 1]
1806665b-27f4-4429-9042-a9ec6ccd26ed, [19:58:00:567:71880567:567063000, Cliente 1]
b06ac2d4-5796-40fd-acc8-e0becc08a904, [19:58:00:567:71880567:567063000, Cliente 1]
326bc7a8-5bee-4475-8d08-57aed472510f, [19:58:00:567:71880567:567063000, Cliente 1]
87b748f3-741a-4374-9565-3ae64200c5ca, [19:58:00:567:71880567:567063000, Cliente 1]
1d2b0870-0d06-4c73-8b38-86db8ab6fbcd, [19:58:00:567:71880567:567063000, Cliente 1]
7036f266-d024-4bfe-b21f-02b20bad47b4, [19:58:00:567:71880567:567063000, Cliente 1]
43fa5650-7082-4b53-98de-e5cefd1beff0, [19:58:00:567:71880567:567063000, Cliente 1]
80767299-4b0b-4de2-be77-1a8544b08e0d, [19:58:00:567:71880567:567063000, Cliente 1]
1b4b1549-fb36-4296-a1a5-f068abd679e4, [19:58:00:567:71880567:567063000, Cliente 1]
29ae965e-00d7-4c71-a80f-38fe29763572, [19:58:00:567:71880567:567063000, Cliente 1]
53074e3a-c7d2-4092-98c2-bd9eca7b065f, [19:58:00:567:71880567:567063000, Cliente 1]
76f0734f-8a5e-44cf-9321-702bd93566c5, [19:58:00:567:71880567:567063000, Cliente 1]
4e4f13b8-f8fb-4ddf-8aff-7dd6a878431e, [19:58:00:567:71880567:567063000, Cliente 1]
3ae70637-d113-4d16-bf71-8288aafe7c66, [19:58:00:567:71880567:567063000, Cliente 1]
55505528-173f-404b-bc68-5d31c03efc15, [19:58:00:567:71880567:567063000, Cliente 1]
9875f9bf-fe5b-4a6a-8606-9d93d077489f, [19:58:00:567:71880567:567063000, Cliente 1]
855c851d-2ade-4313-a90e-c4a6de46bc71, [19:58:00:567:71880567:567063000, Cliente 1]
15464606-495e-4939-8e8b-78013028ede1, [19:58:00:567:71880567:567063000, Cliente 1]
21c01b21-4922-413b-ba3e-441b1658665b, [19:58:00:567:71880567:567063000, Cliente 1]
e6fcc210-682f-4526-8eab-3485d907f6c5, [19:58:00:567:71880567:567063000, Cliente 1]
15332e6a-4031-489b-966c-481c2f11669c, [19:58:00:567:71880567:567063000, Cliente 1]
b64ebb5f-c734-4db0-9b1b-47585102b1ef, [19:58:00:567:71880567:567063000, Cliente 1]
aa1ee827-efc6-432d-ab99-bb883eddf8fc, [19:58:00:567:71880567:567063000, Cliente 1]
c43be2ea-2295-4702-a187-45b9d7ac537d, [19:58:00:567:71880567:567063000, Cliente 1]
75ed7cc9-e8b2-4d53-86af-cfd42cf51aee, [19:58:00:567:71880567:567063000, Cliente 1]
cf7acbdc-641f-493c-af8f-9bbb522ce673, [19:58:00:567:71880567:567063000, Cliente 1]
a66f396d-8f79-4907-880e-284610403fa6, [19:58:01:588:71881588:588238000, Cliente 2]
6b230453-ef9f-4692-b104-a3f41cd09328, [19:58:01:588:71881588:588238000, Cliente 2]
