930ed44e-3922-4069-bf55-b1fff0f75f78, [13:29:54:390:48594390:390492000, Cliente 1]
7dd6028f-bd09-43e1-89ae-82bac75787b6, [13:29:54:390:48594390:390492000, Cliente 1]
d422ea1a-acfb-4e4d-a0ba-9eab65070e2b, [13:29:54:390:48594390:390492000, Cliente 1]
96bf31e6-bbc1-45d6-9cc4-a0dd07cff728, [13:29:54:390:48594390:390492000, Cliente 1]
64702a7d-7153-497c-a83e-b660a87480e8, [13:29:54:390:48594390:390492000, Cliente 1]
f3b83d50-7666-4a22-aa90-177f6d336ab1, [13:29:54:390:48594390:390492000, Cliente 1]
d9cb2c80-3e84-4def-b595-2f100f1b2f1f, [13:29:54:390:48594390:390492000, Cliente 1]
3e94953a-c538-44d9-b703-319b98e5c455, [13:29:54:390:48594390:390492000, Cliente 1]
a3242759-dd83-454a-9470-587dff22b097, [13:29:54:390:48594390:390492000, Cliente 1]
a251a004-af94-4199-8471-8dd8220e73d8, [13:29:54:390:48594390:390492000, Cliente 1]
88829e07-0a01-4e96-8225-685b495b0de3, [13:29:54:390:48594390:390492000, Cliente 1]
f0ffa8f3-6803-42b2-a494-212be76c63ce, [13:29:54:390:48594390:390492000, Cliente 1]
222ee78d-8ece-4f76-a2fb-60817c627c82, [13:29:54:390:48594390:390492000, Cliente 1]
b1332e0e-303a-493f-90ac-5cc6dcf59984, [13:29:54:390:48594390:390492000, Cliente 1]
76871d5d-3b5c-4f5d-9553-319dbc2d10dd, [13:29:54:390:48594390:390492000, Cliente 1]
a7fa7fa9-7804-46ef-b648-9fb88787932c, [13:29:54:390:48594390:390492000, Cliente 1]
83ae2de5-af1b-473c-8c77-1b03abc7081e, [13:29:54:390:48594390:390492000, Cliente 1]
f61f7334-8992-4fa8-9297-42daf50989b8, [13:29:54:390:48594390:390492000, Cliente 1]
31f8285a-558b-4165-8a76-0ccc5b36fa66, [13:29:54:390:48594390:390492000, Cliente 1]
18b3ecee-f101-4960-b78e-11b045c86dfe, [13:29:54:390:48594390:390492000, Cliente 1]
79fb1959-a9ca-4ffb-9a18-3ca14f8105dc, [13:29:54:390:48594390:390492000, Cliente 1]
bc032ba8-97e2-49d7-a3b7-df0a61bb4e71, [13:29:54:390:48594390:390492000, Cliente 1]
427d585a-c521-4516-8ec7-2935bed32586, [13:29:54:390:48594390:390492000, Cliente 1]
6aae3cb3-2b8d-41d8-b32e-376f491bbf31, [13:29:54:390:48594390:390492000, Cliente 1]
1ef317e3-4049-45da-b618-1626ca32aaaf, [13:29:54:390:48594390:390492000, Cliente 1]
5021a885-528a-4902-b0e3-394994d15ba8, [13:29:54:390:48594390:390492000, Cliente 1]
cb96b348-e7df-42d1-a8d4-67d206b61da9, [13:29:54:390:48594390:390492000, Cliente 1]
f70dae53-b33e-45ff-a05e-ecfed434c692, [13:29:54:390:48594390:390492000, Cliente 1]
4f9dafdf-6238-40f6-8325-4374d6818e92, [13:29:54:390:48594390:390492000, Cliente 1]
6f19fd5c-b5f9-4416-b39c-fbce66ef8eeb, [13:29:54:390:48594390:390492000, Cliente 1]
0d776ed6-3cba-45f8-bfef-8235d72c6a31, [13:29:54:390:48594390:390492000, Cliente 1]
3644913c-b2f4-4c85-8834-1ae43b239c3d, [13:29:54:390:48594390:390492000, Cliente 1]
fe516e24-29e3-4354-af51-db085a5a0dc5, [13:29:54:390:48594390:390492000, Cliente 1]
13293f88-c4f6-47d4-8264-49588c20afd1, [13:29:54:390:48594390:390492000, Cliente 1]
50d2c722-472a-4f99-93b6-0a382294f700, [13:29:54:390:48594390:390492000, Cliente 1]
b6ccc993-1ee7-4d24-898b-eadd2812428c, [13:29:54:390:48594390:390492000, Cliente 1]
42aec1b1-4c45-477b-a457-c0e3c3431cbf, [13:29:54:390:48594390:390492000, Cliente 1]
f4beaaec-8785-4b7a-a044-e9936c4ab10a, [13:29:54:390:48594390:390492000, Cliente 1]
d1f785ce-5025-476c-9edf-be4545e7214d, [13:29:54:390:48594390:390492000, Cliente 1]
1e44540c-dad8-428e-b4ab-4144a4ffa5b3, [13:29:55:395:48595395:395188000, Cliente 2]
f0ba1382-c38d-480b-aeee-437b9ff6497a, [13:29:55:395:48595395:395188000, Cliente 2]
fc17a4a9-b4f0-40f7-852a-2d60c5fe275f, [13:29:55:395:48595395:395188000, Cliente 2]
a74b2fd3-424b-411b-b194-be9b0bf7c058, [13:29:55:395:48595395:395188000, Cliente 2]
0f83ea55-9d98-441b-a191-2885e01b220c, [13:29:55:395:48595395:395188000, Cliente 2]
36b9569d-70ab-40a3-8d54-b697d1124194, [13:29:55:395:48595395:395188000, Cliente 2]
7d79fe4a-38a1-406e-9972-81653ac270be, [13:29:55:395:48595395:395188000, Cliente 2]
9899b969-05b0-4589-b77c-8098b4f27d38, [13:29:55:395:48595395:395188000, Cliente 2]
3c9bace5-8a19-468d-a3f8-56d08827db25, [13:29:55:395:48595395:395188000, Cliente 2]
a12aa392-247d-436b-a3a9-8deb8a06afd9, [13:29:55:395:48595395:395188000, Cliente 2]
f2856bfd-4128-4363-b043-520eabd40d3c, [13:29:55:395:48595395:395188000, Cliente 2]
ef0d31d1-0bd8-488f-a56c-b53f17920bdf, [13:29:55:395:48595395:395188000, Cliente 2]
76a0b431-2cfe-440a-bdd0-6e39c7812a27, [13:29:55:395:48595395:395188000, Cliente 2]
ebc77858-3449-4ad1-9647-216ee1c99352, [13:29:55:395:48595395:395188000, Cliente 2]
ce167a4e-3e48-44b8-9904-0862df726c73, [13:29:55:395:48595395:395188000, Cliente 2]
8d0e46f8-6524-4739-a68d-c3c4da69ec9a, [13:29:55:395:48595395:395188000, Cliente 2]
2bd79426-f12e-4994-98fd-9725f29a931c, [13:29:55:395:48595395:395188000, Cliente 2]
d6f451d1-51f6-431d-8995-811144df1d4c, [13:29:55:395:48595395:395188000, Cliente 2]
8b8cfbfc-8c34-4bd6-b76b-58b6c265af6a, [13:29:55:395:48595395:395188000, Cliente 2]
5d6247e4-4186-4140-a930-1d662c74f325, [13:29:55:395:48595395:395188000, Cliente 2]
046f8a9e-f3c8-4510-8b1d-a712bd9159b2, [13:29:55:395:48595395:395188000, Cliente 2]
632cfc59-fa64-483b-9746-ac6fbae9c7e5, [13:29:55:395:48595395:395188000, Cliente 2]
5b826905-62e4-4510-9025-270ece821980, [13:29:55:395:48595395:395188000, Cliente 2]
76ec26b9-5aaf-472e-a3be-7b542dfb3d02, [13:29:55:395:48595395:395188000, Cliente 2]
912db94d-f749-4c21-a034-5c2490ff9396, [13:29:55:395:48595395:395188000, Cliente 2]
1b186192-51c6-418f-8424-7286bc8d3099, [13:29:55:395:48595395:395188000, Cliente 2]
a138c1ab-846b-4269-8320-20f6c2b62bc4, [13:29:55:395:48595395:395188000, Cliente 2]
a827ed68-c9b4-4098-a8ed-fe4ddf00f37c, [13:29:55:395:48595395:395188000, Cliente 2]
38093dad-4685-4dcb-b172-02b6144c83c8, [13:29:55:395:48595395:395188000, Cliente 2]
f461cd7c-7b44-4b88-b506-e23c40802854, [13:29:55:395:48595395:395188000, Cliente 2]
0e0197de-9314-45f2-bfbc-550e77ac866e, [13:29:55:395:48595395:395188000, Cliente 2]
efed6912-316c-4fee-bce2-1f08c990bf1f, [13:29:55:395:48595395:395188000, Cliente 2]
a8b0e1f7-2464-4c6c-9114-5aa855a8edb0, [13:29:55:395:48595395:395188000, Cliente 2]
8398b607-f3e9-42bb-968d-d90fb3885971, [13:29:55:395:48595395:395188000, Cliente 2]
404114b2-c55a-478b-8a7a-13f33ce4f498, [13:29:55:395:48595395:395188000, Cliente 2]
6485115c-2929-4860-8078-e19cba7889ba, [13:29:55:395:48595395:395188000, Cliente 2]
f19370aa-32a4-480f-9eba-07f3c2711077, [13:29:55:395:48595395:395188000, Cliente 2]
d1906075-8157-4c57-a5a3-f2f32b3b0578, [13:29:55:395:48595395:395188000, Cliente 2]
8b3044f2-1513-4169-8af9-6c8d2da8d177, [13:29:55:395:48595395:395188000, Cliente 2]
b028ce73-2742-4c36-b494-dcc6cfb6ed76, [13:29:55:395:48595395:395188000, Cliente 2]
24e306a7-6869-4413-8217-36f99337a9fa, [13:29:55:395:48595395:395188000, Cliente 2]
07762342-78b0-4221-aab0-08d2617e81dd, [13:29:55:395:48595395:395188000, Cliente 2]
6fe16e80-e652-4dbb-a839-07eeda4bd77e, [13:29:55:395:48595395:395188000, Cliente 2]
