d0629547-db95-4d11-8416-2b7353455cc4, [20:07:01:027:72421027:027445000, Cliente 1]
27adc39c-e8dd-49ca-8fac-d4e75a3183d3, [20:07:01:027:72421027:027445000, Cliente 1]
14e56ff9-d03b-4763-88e5-b1902203a0a4, [20:07:01:027:72421027:027445000, Cliente 1]
839dad05-71dc-402f-aec0-dc8345227f1b, [20:07:01:027:72421027:027445000, Cliente 1]
e4da2952-c083-4dd7-9e49-142bc1a42a26, [20:07:01:027:72421027:027445000, Cliente 1]
a26dc94c-7da9-4865-9a3b-eb3d51a2d799, [20:07:01:027:72421027:027445000, Cliente 1]
2cc0a8dc-0ddc-4ed1-af59-9e0989fcd386, [20:07:01:027:72421027:027445000, Cliente 1]
107a2299-5a0a-4986-9f7e-6c277b1b3a5f, [20:07:01:027:72421027:027445000, Cliente 1]
08dc2a45-b113-4087-9007-fbf21dfc5da7, [20:07:01:027:72421027:027445000, Cliente 1]
87b540a3-e54c-4b2a-9bfc-4fba4e0168db, [20:07:01:027:72421027:027445000, Cliente 1]
73f6c04f-2c2f-47d9-b228-062b36ba9e56, [20:07:01:027:72421027:027445000, Cliente 1]
d19218a4-2609-4de4-aa26-9a287cf18c47, [20:07:01:027:72421027:027445000, Cliente 1]
e25939bc-1e43-4f89-a94c-7e92985541ec, [20:07:01:027:72421027:027445000, Cliente 1]
584bef29-6144-4975-befe-629156044d57, [20:07:01:027:72421027:027445000, Cliente 1]
ef865581-edd0-45d2-a073-b15a09de425d, [20:07:01:027:72421027:027445000, Cliente 1]
026e1184-ecd7-4d22-a84f-9bc4a449435e, [20:07:01:027:72421027:027445000, Cliente 1]
62551995-0d9b-4035-9454-7a9635f58bae, [20:07:01:027:72421027:027445000, Cliente 1]
e7b7aa9e-2044-4eb9-b3c8-087f0235aedc, [20:07:01:027:72421027:027445000, Cliente 1]
eb73d9e0-24fb-4423-ae10-50bea8afa504, [20:07:01:027:72421027:027445000, Cliente 1]
020fa884-663c-4efe-8d35-df8e064cd16a, [20:07:01:027:72421027:027445000, Cliente 1]
2a6f9c8b-1572-45f1-947a-559ff4bfc247, [20:07:01:027:72421027:027445000, Cliente 1]
32517af0-154c-4394-886b-ac8902a5e8c7, [20:07:01:027:72421027:027445000, Cliente 1]
99b49f89-fee9-4480-bd13-3e9e219bce48, [20:07:01:027:72421027:027445000, Cliente 1]
20aee781-1ade-4fb2-a94f-09f684b83915, [20:07:01:027:72421027:027445000, Cliente 1]
c5c3854d-3276-4cd1-b844-eef902b54ce5, [20:07:01:027:72421027:027445000, Cliente 1]
83715066-555b-4609-af28-9710e755a1bd, [20:07:01:027:72421027:027445000, Cliente 1]
bf0f2b74-e767-4fe4-81b4-fa506d683ba8, [20:07:01:027:72421027:027445000, Cliente 1]
a3026ab8-ac8b-43d8-8d11-d391c2f71341, [20:07:01:027:72421027:027445000, Cliente 1]
ac8ee12e-d646-4d44-9a68-55151df01421, [20:07:01:027:72421027:027445000, Cliente 1]
890a264a-4b15-4e3b-b7ba-2dd532368533, [20:07:01:027:72421027:027445000, Cliente 1]
42bbc9ad-9ade-4096-8938-c9bec0c618e6, [20:07:01:027:72421027:027445000, Cliente 1]
0f2eb0c7-76a3-4213-9350-3b4cf38373b7, [20:07:01:027:72421027:027445000, Cliente 1]
