4872f13e-ab31-443d-9493-63ef836f431a, [14:03:00:401:50580401:401610000, Cliente 1]
57934e00-6230-4f27-8e5b-5e85376696c0, [14:03:00:401:50580401:401610000, Cliente 1]
f90b6e5c-ad89-45d5-a8a3-ba4b57fc8215, [14:03:00:401:50580401:401610000, Cliente 1]
53aefd8c-bac7-4d42-966c-8aa863d5b19f, [14:03:00:401:50580401:401610000, Cliente 1]
c59cde0f-26e0-496b-92d2-5175050bd90d, [14:03:00:401:50580401:401610000, Cliente 1]
8d704e4a-fa63-4e84-a63f-fea4ad8b4f0c, [14:03:00:401:50580401:401610000, Cliente 1]
d841de62-3753-4e17-8d71-fdbf48be15bf, [14:03:00:401:50580401:401610000, Cliente 1]
2a9d4f59-58a1-43e6-b3a9-92b151655230, [14:03:00:401:50580401:401610000, Cliente 1]
1052966e-f5fc-47f1-944e-27d0070d50c1, [14:03:00:401:50580401:401610000, Cliente 1]
f85bcb15-1a94-4e45-926d-2cf23cc6eb44, [14:03:00:401:50580401:401610000, Cliente 1]
2cea1da1-5d38-4801-bd49-d0cfb5e71c89, [14:03:00:401:50580401:401610000, Cliente 1]
9783a14c-c7b6-44d7-8652-9c6cd772a805, [14:03:00:401:50580401:401610000, Cliente 1]
946bd3c8-26a9-4f7c-8210-cd7ddb609aa4, [14:03:00:401:50580401:401610000, Cliente 1]
2c629453-034a-4318-a60c-3a924df10469, [14:03:00:401:50580401:401610000, Cliente 1]
c1508a2a-ccae-453b-b279-525b538099fb, [14:03:00:401:50580401:401610000, Cliente 1]
2abd2dbd-7fa0-4b3d-bbae-08cd0cba97d6, [14:03:00:401:50580401:401610000, Cliente 1]
bb99eccd-f528-4fc2-8444-c106201d6e9b, [14:03:00:401:50580401:401610000, Cliente 1]
af745d96-55a6-4d5c-81b0-ccfd316ca2b7, [14:03:00:401:50580401:401610000, Cliente 1]
6e83a363-f9a8-48d4-8efb-bfc3b237ced3, [14:03:00:401:50580401:401610000, Cliente 1]
0d98c373-4ae9-4165-a234-3068488efa97, [14:03:00:401:50580401:401610000, Cliente 1]
fa4c6342-f708-4c36-9655-939352673095, [14:03:00:401:50580401:401610000, Cliente 1]
d367c4ea-d67d-49ff-95cb-983bb909e0b8, [14:03:00:401:50580401:401610000, Cliente 1]
e4f61023-9239-419c-a2f5-5585ab89f9a5, [14:03:00:401:50580401:401610000, Cliente 1]
dd939dbe-ba9e-4239-ba7e-38aa29fc1cbd, [14:03:00:401:50580401:401610000, Cliente 1]
9c3cf1b9-801a-41d6-bf93-b7ff03cae829, [14:03:00:401:50580401:401610000, Cliente 1]
d99e3bc1-4c3f-4c05-a5ca-d6e8957a742b, [14:03:00:401:50580401:401610000, Cliente 1]
52f539f1-99d7-4722-ac8c-353a2e1b7dd1, [14:03:00:401:50580401:401610000, Cliente 1]
41f97d7d-2d0f-468f-a811-b4e364045ab3, [14:03:00:401:50580401:401610000, Cliente 1]
9b9f5e33-c806-4243-af02-1b17aa344420, [14:03:00:401:50580401:401610000, Cliente 1]
768c1dea-e5a0-4b7a-8e73-7bef0771de8b, [14:03:00:401:50580401:401610000, Cliente 1]
6b56b1af-1162-48a3-b725-ca73f88deb1e, [14:03:00:401:50580401:401610000, Cliente 1]
f32d8eff-5a9e-4766-8f29-65d1b62cbc26, [14:03:00:401:50580401:401610000, Cliente 1]
5fc0c80c-e7c1-45f5-b83d-fe9da7440c39, [14:03:00:401:50580401:401610000, Cliente 1]
78315837-f5de-466b-b1d9-e38315e76b94, [14:03:00:401:50580401:401610000, Cliente 1]
331f3529-5c6f-47c3-b188-36a51264e0cd, [14:03:00:401:50580401:401610000, Cliente 1]
dc1fc128-8f95-432b-8c42-e387143dea11, [14:03:00:401:50580401:401610000, Cliente 1]
f00839df-0e09-4278-8f12-48b312e21da6, [14:03:00:401:50580401:401610000, Cliente 1]
a0b3f455-60b7-4231-a5e5-5466fb368910, [14:03:00:401:50580401:401610000, Cliente 1]
cad6b74e-e05c-4e88-bad9-67c6e958084e, [14:03:00:401:50580401:401610000, Cliente 1]
2b195dca-c867-462e-ac88-03d4cd355a43, [14:03:01:405:50581405:405764000, Cliente 2]
