"Num_clientes","Num_paquetes_total","primera_hora_enviado","ultima_hora_enviado","primera_hora_recibido","ultima_hora_recibido","num_paquetes_recibidos"
30,1500,"19:31:33:091","19:32:00:143","19:31:31:045","19:32:02:155",905
50,2500,"19:39:07:540","19:39:52:766","19:39:03:419","19:39:56:784",2500
50,5000,"19:47:59:041","19:49:34:589","19:47:54:914","19:49:38:608",5000
50,7500,"20:29:17:115","20:31:43:021","20:29:12:998","20:30:10:256",2791
50,10000,"19:57:59:672","20:01:15:850","19:57:55:550","20:01:19:880",10000
50,12500,"20:07:00:121","20:11:06:570","20:06:55:993","20:09:51:966",8688
50,15000,"20:17:16:038","20:22:13:001","20:17:11:922","20:22:16:989",15000
