efe7e26e-5101-43e3-9f88-a29b37e4b7a4, [12:53:18:086:46398086:086210000, Cliente 1]
b79759fd-5085-4818-b37c-4ff73560bcc8, [12:53:18:086:46398086:086210000, Cliente 1]
cfc5865c-3be0-4d90-9bf6-72af4e8f4572, [12:53:18:086:46398086:086210000, Cliente 1]
3dab009b-a8e3-47d4-97f4-fa61652718ac, [12:53:18:086:46398086:086210000, Cliente 1]
9ced03a5-743e-440a-b29d-927023ed0b53, [12:53:18:086:46398086:086210000, Cliente 1]
ac8144fc-1fe8-467f-983b-c38fd57c9e31, [12:53:18:086:46398086:086210000, Cliente 1]
394b7339-4b8c-4992-95ca-dd6a5f997654, [12:53:18:086:46398086:086210000, Cliente 1]
b80eae68-12c8-40ee-8ae4-28179b1716f3, [12:53:18:086:46398086:086210000, Cliente 1]
8128925a-c796-4c41-af7e-0024e6d57159, [12:53:18:086:46398086:086210000, Cliente 1]
18b331c5-697c-4315-8891-04c592e424e4, [12:53:18:086:46398086:086210000, Cliente 1]
a586901e-ee16-4d75-a98a-ff2c9b380c06, [12:53:18:086:46398086:086210000, Cliente 1]
936361fe-6f74-4682-8569-400074034694, [12:53:18:086:46398086:086210000, Cliente 1]
a036a318-9999-4c82-bb2f-49d209c76794, [12:53:18:086:46398086:086210000, Cliente 1]
92ebe5e6-c618-4c91-b1ea-1e02475ba38d, [12:53:18:086:46398086:086210000, Cliente 1]
9c04cc99-a251-45e1-9df0-5311d7b8e4be, [12:53:18:086:46398086:086210000, Cliente 1]
2b3fae97-87e1-4285-b100-6d903a03a5f1, [12:53:18:086:46398086:086210000, Cliente 1]
a89bfec6-f62c-4600-adab-f9b6b0eec144, [12:53:18:086:46398086:086210000, Cliente 1]
2a8a9a36-a148-4ca5-a9ef-c3c85e08ac36, [12:53:18:086:46398086:086210000, Cliente 1]
0fedbf3e-3a03-414f-99d6-ddeff2649303, [12:53:18:086:46398086:086210000, Cliente 1]
3f33034b-3d7e-433b-8ee0-615333e2ee16, [12:53:18:086:46398086:086210000, Cliente 1]
ceb4bb08-6a28-4846-af5d-79fa47399ed7, [12:53:18:086:46398086:086210000, Cliente 1]
52c66aaa-7b19-4ecc-9719-fea694c11732, [12:53:18:086:46398086:086210000, Cliente 1]
522b0173-fd46-41fb-8c62-bc4ec6f5dad2, [12:53:18:086:46398086:086210000, Cliente 1]
98445fcf-4ce3-473d-ae97-c545683a2c2c, [12:53:18:086:46398086:086210000, Cliente 1]
1b797440-c03b-4543-936e-90fe54a741c3, [12:53:18:086:46398086:086210000, Cliente 1]
75293742-5f27-4243-b3c4-e9df06dc7809, [12:53:18:086:46398086:086210000, Cliente 1]
603083c2-8138-421f-bfc4-082a19b8181c, [12:53:18:086:46398086:086210000, Cliente 1]
735c112c-2ea4-463f-a692-fa832fcb70fa, [12:53:18:086:46398086:086210000, Cliente 1]
47b484de-9bcd-40f0-bdf2-68ac0da1fbc6, [12:53:18:086:46398086:086210000, Cliente 1]
87f91600-e206-4861-bbe5-161e6bbc97f6, [12:53:18:086:46398086:086210000, Cliente 1]
54ac816b-70ef-415b-9876-67062d05ce81, [12:53:18:086:46398086:086210000, Cliente 1]
2cc116f7-cdfc-443d-96a0-57637c6045fa, [12:53:18:086:46398086:086210000, Cliente 1]
7ee1c80b-9f2a-4a04-8383-64c63e1b70b7, [12:53:18:086:46398086:086210000, Cliente 1]
bff06b0a-ab8b-4ddd-9eb0-e0e11e1adbd6, [12:53:18:086:46398086:086210000, Cliente 1]
6e81e183-fdb1-4ae2-8dda-b43110b91d5c, [12:53:18:086:46398086:086210000, Cliente 1]
a7ba979c-9eee-4498-853f-03bb5eb60405, [12:53:18:086:46398086:086210000, Cliente 1]
91fbc808-8653-4fbb-8e6d-9a98348aae30, [12:53:18:086:46398086:086210000, Cliente 1]
1b79d680-b70b-4311-9d64-a2fcedb6a4dd, [12:53:18:086:46398086:086210000, Cliente 1]
5ed01bd7-f94f-447a-b205-7270cb7ddbc0, [12:53:18:086:46398086:086210000, Cliente 1]
bde13ea7-5546-4adc-b199-e8a26cae87b8, [12:53:19:093:46399093:093510000, Cliente 2]
3c672297-b3dc-4046-aa72-58833fe10d3c, [12:53:19:093:46399093:093510000, Cliente 2]
5c03013e-825b-4841-8b23-aa894b8126e2, [12:53:19:093:46399093:093510000, Cliente 2]
c5b57677-b563-44cd-8845-f9153e13c81e, [12:53:19:093:46399093:093510000, Cliente 2]
2ebcdbc1-6561-420f-8d93-3bc642bcd13d, [12:53:19:093:46399093:093510000, Cliente 2]
4a50e04e-010b-45c5-b499-1849582f590f, [12:53:19:093:46399093:093510000, Cliente 2]
1a50c0fb-4316-4722-97aa-a27844b7cd75, [12:53:19:093:46399093:093510000, Cliente 2]
53705b09-a102-4a1d-8118-6458f3ef728b, [12:53:19:093:46399093:093510000, Cliente 2]
9867b435-d1a7-498f-ba90-37f14799135b, [12:53:19:093:46399093:093510000, Cliente 2]
1ffccf68-a357-4d52-9ac7-bd3b490c7165, [12:53:19:093:46399093:093510000, Cliente 2]
c68f8d44-f248-41d2-8891-2c8c8cecdb16, [12:53:19:093:46399093:093510000, Cliente 2]
b77934ea-cd16-4db7-8e15-94b968195dda, [12:53:19:093:46399093:093510000, Cliente 2]
d29c7de5-ffc7-4b6b-9786-9edccb540d76, [12:53:19:093:46399093:093510000, Cliente 2]
5313b505-b97d-423b-bcd4-8b7ce636e346, [12:53:19:093:46399093:093510000, Cliente 2]
6ecc6e70-4824-494b-836a-1ed8adee4750, [12:53:19:093:46399093:093510000, Cliente 2]
8bd8bde0-ab14-4591-ab81-c127b1c3cbdb, [12:53:19:093:46399093:093510000, Cliente 2]
7addc56e-c390-4487-ac90-dd690b3b7c6a, [12:53:19:093:46399093:093510000, Cliente 2]
3930f31a-26fa-4476-ba2c-46f6c32889e2, [12:53:19:093:46399093:093510000, Cliente 2]
e6d5e6f0-c1e7-4db0-87f2-00e60be3cc0c, [12:53:19:093:46399093:093510000, Cliente 2]
88746531-9ba1-427e-92bb-48db11e05a2f, [12:53:19:093:46399093:093510000, Cliente 2]
d8b04bc5-6ec5-4b5a-b6bb-7a4f0d4b9df8, [12:53:19:093:46399093:093510000, Cliente 2]
8289b577-34b7-4b26-b855-f651afd9ea3a, [12:53:19:093:46399093:093510000, Cliente 2]
e34b5450-24dd-4e35-bc0a-54f7cf422847, [12:53:19:093:46399093:093510000, Cliente 2]
a4fb3123-1456-4825-afaa-859c78e473a2, [12:53:19:093:46399093:093510000, Cliente 2]
6b3940a7-3a32-44cb-920c-577239bf7fb3, [12:53:19:093:46399093:093510000, Cliente 2]
29a9b04a-1f68-45fb-a111-ed1b85d745bf, [12:53:19:093:46399093:093510000, Cliente 2]
cebb859e-f856-4a55-bb2c-6adfd1ec83a5, [12:53:19:093:46399093:093510000, Cliente 2]
528a5cee-d0ab-4226-b1a1-4c68892aedbd, [12:53:19:093:46399093:093510000, Cliente 2]
3cc815ab-0292-4eb0-a48e-b5529639ed7d, [12:53:19:093:46399093:093510000, Cliente 2]
fcb38e9f-a6b1-4916-90d9-95c32f8a521a, [12:53:19:093:46399093:093510000, Cliente 2]
c7f01a6e-048f-42c6-8a3e-7e95237945f3, [12:53:19:093:46399093:093510000, Cliente 2]
f6eedfaa-49fc-495a-8b65-aec23ca5b6a6, [12:53:19:093:46399093:093510000, Cliente 2]
15d58ca1-0a6a-4b16-a9aa-675b6a24728f, [12:53:19:093:46399093:093510000, Cliente 2]
721f8b89-86d3-4022-a766-897c33416a7a, [12:53:19:093:46399093:093510000, Cliente 2]
2569f02e-1852-417f-ac15-0cc52bbd3726, [12:53:19:093:46399093:093510000, Cliente 2]
5bbf1ed9-5401-4a67-9c50-cb8068d3da11, [12:53:19:093:46399093:093510000, Cliente 2]
e4c87718-9209-4100-a4da-9abfc449724f, [12:53:19:093:46399093:093510000, Cliente 2]
6d394148-44c5-4807-b1b0-7a1679aa0023, [12:53:19:093:46399093:093510000, Cliente 2]
d5677077-4445-482d-bfaf-135f4a21803a, [12:53:19:093:46399093:093510000, Cliente 2]
65d20c46-2ea6-4a06-857d-c19c99b78057, [12:53:19:093:46399093:093510000, Cliente 2]
7c659b5f-1942-4c25-ac2b-9a7671bcc657, [12:53:19:093:46399093:093510000, Cliente 2]
083948a2-07aa-4632-9128-f4edd72ba9e7, [12:53:19:093:46399093:093510000, Cliente 2]
90c2d7f6-16e9-4e70-8021-465814fa02cc, [12:53:19:093:46399093:093510000, Cliente 2]
0df3c381-1d58-4209-b599-b98634acca6c, [12:53:19:093:46399093:093510000, Cliente 2]
ae63faf9-d654-4a28-bbfe-503d09904fb2, [12:53:19:093:46399093:093510000, Cliente 2]
