f60b7f5e-ead4-4a42-8339-cb6461751085, [20:57:35:230:75455230:230258000, Cliente 2]
0b61ff85-3cbe-429d-ad27-586d5f8b7796, [20:57:35:230:75455230:230258000, Cliente 2]
a5430377-123c-40d4-9b84-5ab975a74515, [20:57:35:230:75455230:230258000, Cliente 2]
6b71179c-893c-4f76-b787-3491934474b5, [20:57:35:230:75455230:230258000, Cliente 2]
2956556e-d0ed-4b7c-a411-2f0e48b3da18, [20:57:35:230:75455230:230258000, Cliente 2]
b9a6b861-dffb-43a0-b067-1974e0b74c87, [20:57:35:230:75455230:230258000, Cliente 2]
fa689f21-bad6-49a2-a2fa-5c0e8f14d8aa, [20:57:35:230:75455230:230258000, Cliente 2]
e52293c4-180b-4bc2-8029-539474c04821, [20:57:35:230:75455230:230258000, Cliente 2]
1625b924-dcd7-4a4d-a44d-d388257982c8, [20:57:35:230:75455230:230258000, Cliente 2]
9b36db7b-33bb-4d45-94fe-8468f20e7687, [20:57:35:230:75455230:230258000, Cliente 2]
8c76c21c-cc2e-431a-8c0f-d217e50a78d5, [20:57:35:230:75455230:230258000, Cliente 2]
5d9721e4-05f2-47ab-907f-0f662191c1a1, [20:57:35:230:75455230:230258000, Cliente 2]
bfd44c87-4953-4a75-b86f-a9fbee4d0e6a, [20:57:35:230:75455230:230258000, Cliente 2]
690ba01f-af3e-4fac-b5b9-cb06d2a45c7e, [20:57:35:230:75455230:230258000, Cliente 2]
9bc72bc6-39ac-46d9-9fc1-e5b318f12c35, [20:57:35:230:75455230:230258000, Cliente 2]
5a2203a2-9c26-4a6f-865f-a1edd20a989b, [20:57:35:230:75455230:230258000, Cliente 2]
2a082e51-18ca-4161-8695-b3aa18fe0c15, [20:57:35:230:75455230:230258000, Cliente 2]
af81e0ed-8f52-4dfa-b3f9-4af7d069e53b, [20:57:35:230:75455230:230258000, Cliente 2]
b47880b7-819c-441f-8175-ab5012f663f7, [20:57:35:230:75455230:230258000, Cliente 2]
78a92fc4-64f5-4a05-8497-f05f9bfa105a, [20:57:35:230:75455230:230258000, Cliente 2]
bf5dff27-e730-48a9-b4fe-95eacefc7f7b, [20:57:35:230:75455230:230258000, Cliente 2]
9ce7b9a5-3384-40f7-88fe-3254118ffbc2, [20:57:35:230:75455230:230258000, Cliente 2]
23a32b19-e636-452a-96a5-69c9f8862f1d, [20:57:35:230:75455230:230258000, Cliente 2]
e1bc8e6c-cf4d-444a-a72f-85d5986c5072, [20:57:35:230:75455230:230258000, Cliente 2]
ce1f5f55-662b-452a-8be9-20bd290a3268, [20:57:35:230:75455230:230258000, Cliente 2]
13fab80d-25c1-43bc-8a19-4a047fc447cc, [20:57:35:230:75455230:230258000, Cliente 2]
95ce0bfd-fda0-459e-8891-a535cfb60076, [20:57:35:230:75455230:230258000, Cliente 2]
30e9472b-4da6-44ed-a836-85de5f277396, [20:57:35:230:75455230:230258000, Cliente 2]
a2bb57e1-9b32-4f2f-b7f1-87aab0b2e1b0, [20:57:35:230:75455230:230258000, Cliente 2]
a7921a3b-4764-4fdc-ab94-95e4586dbc27, [20:57:35:230:75455230:230258000, Cliente 2]
fc3566c8-bbc1-4111-9aeb-653ea27811bf, [20:57:35:230:75455230:230258000, Cliente 2]
0ed4ec8b-adac-437f-bb34-38340c36d759, [20:57:35:230:75455230:230258000, Cliente 2]
60cb352c-162a-4e81-a3c4-ecbc233bb00e, [20:57:35:230:75455230:230258000, Cliente 2]
c121cab6-e6d0-4016-848c-be3b91033110, [20:57:35:230:75455230:230258000, Cliente 2]
9b014856-3238-449c-835b-49c80179c657, [20:57:35:230:75455230:230258000, Cliente 2]
a66bf017-0c25-4d51-9f6c-1a4d6342deab, [20:57:35:230:75455230:230258000, Cliente 2]
fe9f9417-8eb2-4ecf-82af-7a0aa99dc654, [20:57:35:230:75455230:230258000, Cliente 2]
bd3b3d09-d765-4851-ad37-7c7e6ca4fa10, [20:57:35:230:75455230:230258000, Cliente 2]
05a79b9f-1bdf-40d8-8800-4a49b0a3611b, [20:57:35:230:75455230:230258000, Cliente 2]
a078c585-0df6-4eb5-825b-39c7e6843ffa, [20:57:35:230:75455230:230258000, Cliente 2]
a21e6e8c-109a-44c6-8756-b795df1cd1a9, [20:57:35:230:75455230:230258000, Cliente 2]
6e5e12c3-aaca-43ff-a98a-784e7b2b5000, [20:57:35:230:75455230:230258000, Cliente 2]
dcfda965-6e59-4164-af73-f73fd9e8e90c, [20:57:35:230:75455230:230258000, Cliente 2]
628ac9df-6104-4bec-a9d0-b65ec888549a, [20:57:35:230:75455230:230258000, Cliente 2]
9f86e39e-1b7b-4cd7-8a54-4d3e44cccde5, [20:57:35:230:75455230:230258000, Cliente 2]
3f082b7c-78e7-4c11-aebd-3466a8a8aaca, [20:57:35:230:75455230:230258000, Cliente 2]
910798a0-3592-4721-bb57-1f7742c56aef, [20:57:35:230:75455230:230258000, Cliente 2]
bed1b53b-d932-4a45-a518-22fb830a14d1, [20:57:35:230:75455230:230258000, Cliente 2]
641824b7-4c24-4ebd-ba07-9addb0f02244, [20:57:35:230:75455230:230258000, Cliente 2]
63c67bd1-6f09-4654-90bd-fd2898aa80b1, [20:57:35:230:75455230:230258000, Cliente 2]
140c43e0-9ac9-41cf-be2c-1317b232a058, [20:57:35:230:75455230:230258000, Cliente 2]
