4f4301b2-6dc4-4f2c-a7b2-8d5f58d8e4cd, [21:23:07:524:76987524:524997000, Cliente 4]
7ea9c19d-cecc-4652-9a75-230152c93a82, [21:23:07:524:76987524:524997000, Cliente 4]
26fe6f64-3b31-40f5-8d4f-279634b35f7b, [21:23:07:524:76987524:524997000, Cliente 4]
41d50b05-e633-416e-87cb-f754cce40554, [21:23:07:524:76987524:524997000, Cliente 4]
f6f6628f-a900-44fa-b9bb-7a5d2fd4e101, [21:23:07:524:76987524:524997000, Cliente 4]
fa986a25-85d0-4a25-a3fe-8e17e2e6e421, [21:23:07:524:76987524:524997000, Cliente 4]
bec76017-b9ce-41e5-9fa9-33d4ebacba94, [21:23:07:524:76987524:524997000, Cliente 4]
cd3aefa7-b6d1-4c57-8da4-0ec3073a0a1d, [21:23:07:524:76987524:524997000, Cliente 4]
c827f4d0-656d-49b8-b9bd-42d192ec464e, [21:23:07:524:76987524:524997000, Cliente 4]
2989d611-3731-496d-ab66-9fd0d101e893, [21:23:07:524:76987524:524997000, Cliente 4]
315ac634-32cb-4776-ba25-a154f1552b91, [21:23:07:524:76987524:524997000, Cliente 4]
225d765a-0799-40a0-8b58-124568932f0d, [21:23:07:524:76987524:524997000, Cliente 4]
8a4128ff-fdb3-43a2-8d99-3f333024d62e, [21:23:07:524:76987524:524997000, Cliente 4]
5b1a32e4-4f11-48a6-80a0-6b6bc57ba51b, [21:23:07:524:76987524:524997000, Cliente 4]
5a64a07f-ad4b-458b-941d-7187792c4d24, [21:23:07:524:76987524:524997000, Cliente 4]
75d68666-abca-4623-b2c0-1c8fe7bbf5d2, [21:23:07:524:76987524:524997000, Cliente 4]
a48ed82f-a93f-4294-bbd5-52ef65aeb088, [21:23:07:524:76987524:524997000, Cliente 4]
2f943c4d-54f4-446c-bef2-9092b49c2f74, [21:23:07:524:76987524:524997000, Cliente 4]
6b6e474f-4776-4fb8-9063-5bd97a1151ee, [21:23:07:524:76987524:524997000, Cliente 4]
7116c334-2729-46b3-8824-d22751a14ac8, [21:23:07:524:76987524:524997000, Cliente 4]
b8bac7b0-ae0d-438d-b582-591bfc6edd98, [21:23:07:524:76987524:524997000, Cliente 4]
3a77624c-8e35-4a9f-b83b-3c73351423c0, [21:23:07:524:76987524:524997000, Cliente 4]
f3345440-2e9d-4cb2-9712-a69fe275d93d, [21:23:07:524:76987524:524997000, Cliente 4]
d951366c-8a90-4816-880c-f136371918a3, [21:23:07:524:76987524:524997000, Cliente 4]
d761c1c6-1c36-42ca-b558-fefbc2c04a42, [21:23:07:524:76987524:524997000, Cliente 4]
25f6b9cd-9b17-4851-9cd0-07edacf4942a, [21:23:07:524:76987524:524997000, Cliente 4]
f1acb80c-364f-4914-9cad-f26dcf2abb36, [21:23:07:524:76987524:524997000, Cliente 4]
0cf1610e-6c3b-4894-baea-5d5c0238d084, [21:23:07:524:76987524:524997000, Cliente 4]
e91d52f8-76a8-4f6e-94d3-49151d3894da, [21:23:07:524:76987524:524997000, Cliente 4]
e366c8c5-86f2-4437-ae06-c4dfa52aa29f, [21:23:07:524:76987524:524997000, Cliente 4]
a4c5fb40-00ae-45d3-8278-0adecfdacbe4, [21:23:07:524:76987524:524997000, Cliente 4]
219369d9-60d7-41c9-bd21-8542e3d17488, [21:23:07:524:76987524:524997000, Cliente 4]
ce9eab1c-0cd3-45f6-8fcd-020f52076d75, [21:23:07:524:76987524:524997000, Cliente 4]
892475d9-b4dc-485e-a723-eac0e941e0dd, [21:23:07:524:76987524:524997000, Cliente 4]
98d28aa5-45f5-4c44-ba56-8d29f5533b13, [21:23:07:524:76987524:524997000, Cliente 4]
167ac68a-79be-4f2f-93a5-532ff7f407a4, [21:23:07:524:76987524:524997000, Cliente 4]
e76e4891-2d1e-4f4e-b675-7c6d08a77c90, [21:23:07:524:76987524:524997000, Cliente 4]
6669aacd-08ac-46a7-8499-99af6c3852a0, [21:23:07:524:76987524:524997000, Cliente 4]
6c279af8-9679-4707-9181-ab715006b83f, [21:23:07:524:76987524:524997000, Cliente 4]
0b00bf59-a60b-4c05-b920-c1d2f24e17bf, [21:23:07:524:76987524:524997000, Cliente 4]
516f7b64-1e94-437e-8993-2610f09a85cd, [21:23:07:524:76987524:524997000, Cliente 4]
282a875d-331e-452b-803b-0b29f83f9c72, [21:23:07:524:76987524:524997000, Cliente 4]
d64deb5f-46d7-473e-bdee-c2224749c60f, [21:23:07:524:76987524:524997000, Cliente 4]
03e0b1cb-35de-4fab-82e6-76bcd9eed44e, [21:23:07:524:76987524:524997000, Cliente 4]
bcd28003-0375-4d14-a28d-f3ad60d5c183, [21:23:07:524:76987524:524997000, Cliente 4]
be26875e-2263-4c3f-9565-da6574beaa9c, [21:23:07:524:76987524:524997000, Cliente 4]
3ddaa7eb-e379-4999-abb8-4cf85f94f045, [21:23:07:524:76987524:524997000, Cliente 4]
bf44583c-e458-48aa-96a4-0bb87c6cc8f2, [21:23:07:524:76987524:524997000, Cliente 4]
662798f6-70e7-41cc-92da-288af4991bdb, [21:23:07:524:76987524:524997000, Cliente 4]
b4324bce-3c23-457d-9895-fedf89e0c87c, [21:23:07:524:76987524:524997000, Cliente 4]
d14a4c2b-433f-426a-87fe-a5729231edbe, [21:23:07:524:76987524:524997000, Cliente 4]
bd5b0383-d782-45ef-9f9d-5221d7fd5d96, [21:23:07:524:76987524:524997000, Cliente 4]
3b12ef67-ffef-4c7e-908f-578cbfedbe49, [21:23:07:524:76987524:524997000, Cliente 4]
9c6519b6-f917-4a0d-b712-3b4e4719492a, [21:23:07:524:76987524:524997000, Cliente 4]
c4fe6497-bc3b-463a-9e0a-5796ff2ffa2b, [21:23:07:524:76987524:524997000, Cliente 4]
5d0b0faf-c11f-4a42-a431-63fee5e31e57, [21:23:07:524:76987524:524997000, Cliente 4]
46161f49-ab11-491e-b8de-b3044a9eba9e, [21:23:07:524:76987524:524997000, Cliente 4]
624bf7de-6df2-4980-97f7-c05ab0b3d534, [21:23:07:524:76987524:524997000, Cliente 4]
ff86d22d-b3f0-4c3d-88e1-84068096c783, [21:23:07:524:76987524:524997000, Cliente 4]
d155f6bd-6e07-4e0f-bad3-6c1e94a0cc9f, [21:23:07:524:76987524:524997000, Cliente 4]
f2104b0a-08e3-4182-aa2c-bcb5754e60e6, [21:23:07:524:76987524:524997000, Cliente 4]
71ca4374-7db6-4241-877d-8e777b320d33, [21:23:07:524:76987524:524997000, Cliente 4]
fcc33a43-ce22-4bc3-a63f-d59ae18c50ac, [21:23:07:524:76987524:524997000, Cliente 4]
b8e38fb9-5048-4b15-a3da-4c02580685d5, [21:23:07:524:76987524:524997000, Cliente 4]
d9b879a3-6bbf-45f4-bff0-834da7d8e36e, [21:23:07:524:76987524:524997000, Cliente 4]
2791b845-77b0-4c73-b087-aa70b030c087, [21:23:07:524:76987524:524997000, Cliente 4]
32983066-79e6-4b01-8666-aab1120b22cd, [21:23:07:524:76987524:524997000, Cliente 4]
bda8c833-d12b-4f7c-bdf0-1c9e6e3e4057, [21:23:07:524:76987524:524997000, Cliente 4]
db42d9f1-7571-448a-bccf-a194ccf6aa14, [21:23:07:524:76987524:524997000, Cliente 4]
8a283657-ea8b-427a-824c-5116fb3f28c0, [21:23:07:524:76987524:524997000, Cliente 4]
74d15213-8c00-4dbb-a7e5-835d13d08065, [21:23:07:524:76987524:524997000, Cliente 4]
9b3f922a-d168-40c2-ad3a-17b08465e7fc, [21:23:07:524:76987524:524997000, Cliente 4]
65665cfc-ee82-4989-b57c-c7c85d81a54f, [21:23:07:524:76987524:524997000, Cliente 4]
a352a811-6c88-4364-b96b-899a5d3e737d, [21:23:07:524:76987524:524997000, Cliente 4]
d9297b60-8f14-48eb-a154-6523a0487647, [21:23:07:524:76987524:524997000, Cliente 4]
6422e3d4-9adc-4414-a689-618fef49298e, [21:23:07:524:76987524:524997000, Cliente 4]
95084c65-8dc6-43dd-875b-e1d23859e287, [21:23:07:524:76987524:524997000, Cliente 4]
f2d62bbd-53d1-427a-bce6-9edadb0fa380, [21:23:07:524:76987524:524997000, Cliente 4]
fcde57e6-aca9-4148-a1d2-56c344314d41, [21:23:07:524:76987524:524997000, Cliente 4]
d6e14acf-149e-4fff-8962-4e7142d95cde, [21:23:07:524:76987524:524997000, Cliente 4]
15602e4f-276e-4407-b90e-c264bfaeecd2, [21:23:07:524:76987524:524997000, Cliente 4]
440ae33d-2ea7-46d0-b9d3-ebcf30e80ac4, [21:23:07:524:76987524:524997000, Cliente 4]
fa7b837d-6c51-4c8f-971b-ba0a4083ce9e, [21:23:07:524:76987524:524997000, Cliente 4]
804c2854-c905-443a-a403-f78d5812d0c7, [21:23:07:524:76987524:524997000, Cliente 4]
669faf57-88ca-4693-a008-613eadb3f5d1, [21:23:07:524:76987524:524997000, Cliente 4]
775e635f-389b-47e9-a111-ba97dba65d66, [21:23:07:524:76987524:524997000, Cliente 4]
997ed512-6057-48a8-beef-4a68cf26c22b, [21:23:07:524:76987524:524997000, Cliente 4]
ec685361-f315-4164-b1b3-97853cf8a282, [21:23:07:524:76987524:524997000, Cliente 4]
e0745780-4b8b-45f1-bd59-f2b1bc09a0b8, [21:23:07:524:76987524:524997000, Cliente 4]
ce967b58-21a6-4b75-b4fa-2da5a1cff89e, [21:23:07:524:76987524:524997000, Cliente 4]
5d04d61b-0512-4d42-aca2-4be56a9b7473, [21:23:07:524:76987524:524997000, Cliente 4]
44764623-8a76-4e4b-913a-8086c6ff6386, [21:23:07:524:76987524:524997000, Cliente 4]
5f5d59d7-2c91-494d-8f10-ee65b3cced7f, [21:23:07:524:76987524:524997000, Cliente 4]
4f15f380-72f7-45cb-a3d3-168543f500fb, [21:23:07:524:76987524:524997000, Cliente 4]
b86b309e-a049-4bf1-bfff-6c4378265168, [21:23:07:524:76987524:524997000, Cliente 4]
78d84c6c-e278-4055-ad2e-30d8fbb5b160, [21:23:07:524:76987524:524997000, Cliente 4]
