"Num_clientes","Num_paquetes_total","primera_hora_enviado","ultima_hora_enviado","primera_hora_recibido","ultima_hora_recibido","num_paquetes_recibidos"
30,1500,"14:09:15:862","14:09:44:989","14:09:15:899","14:09:44:992",907
50,2500,"14:02:59:466","14:03:48:739","14:02:59:498","14:03:48:743",2500
50,5000,"13:29:53:466","13:31:33:023","13:29:53:498","13:31:34:666",2065
50,7500,"13:09:27:638","13:11:58:312","13:09:27:673","13:11:58:320",7500
50,10000,"00:39:32:814","00:42:52:938","00:39:32:847","00:41:59:640",7338
50,12500,"00:21:10.043","00:25:20.749","00:21:10.075","00:21:31.142",1120
50,15000,"00:30:21.973","00:35:22.875","00:30:22.004","00:35:22.882",15000
