01597a31-b70e-4c27-9685-fd4933b380ee, [19:31:34:979:70294979:979672000, Cliente 2]
ff9606e2-c68f-4f10-9136-e2c40c7e272e, [19:31:34:979:70294979:979672000, Cliente 2]
15ac49d3-9319-4274-b63c-e27181f04273, [19:31:34:979:70294979:979672000, Cliente 2]
024f29e3-95d9-49f4-b495-6b23e852b921, [19:31:34:979:70294979:979672000, Cliente 2]
53a1135d-15a6-45e6-b7b5-4a6338a89541, [19:31:34:979:70294979:979672000, Cliente 2]
a90ee8ef-ea86-4a27-b429-2ce36e93aa8c, [19:31:34:979:70294979:979672000, Cliente 2]
bd0d2ff3-db53-471c-bc44-42054fb6fcbf, [19:31:34:979:70294979:979672000, Cliente 2]
e3328d49-2d93-4133-8f48-f620adaec214, [19:31:34:979:70294979:979672000, Cliente 2]
273d1c3e-0a33-4ed9-8290-54dfad72848b, [19:31:34:979:70294979:979672000, Cliente 2]
c28f09e6-711a-42e0-bf5d-220aa73fe254, [19:31:34:979:70294979:979672000, Cliente 2]
85ea7e1b-0b12-4a7a-bc0f-44a4e77e2c87, [19:31:34:979:70294979:979672000, Cliente 2]
ec33b836-f078-46bd-aeb8-e439840cd296, [19:31:34:979:70294979:979672000, Cliente 2]
17996af6-30c6-4522-8a80-8fc5c7ea1659, [19:31:34:979:70294979:979672000, Cliente 2]
43d4ae29-6947-4638-8f21-1dc65a5d569d, [19:31:34:979:70294979:979672000, Cliente 2]
3828b2ad-d9f4-4b4c-95ae-c261d282720b, [19:31:34:979:70294979:979672000, Cliente 2]
5424fe51-bd8f-4660-88db-7ca3a9e88eec, [19:31:34:979:70294979:979672000, Cliente 2]
0a4de428-aa46-493b-b48d-0c8572f9c802, [19:31:34:979:70294979:979672000, Cliente 2]
f661f8f0-d6fd-4968-911a-f5da49f6f3c2, [19:31:34:979:70294979:979672000, Cliente 2]
091cc91a-6e4e-4ff5-8b45-d6090d078150, [19:31:34:979:70294979:979672000, Cliente 2]
