22f119f6-0270-4f16-9a95-d613d7d06003, [20:17:16:977:73036977:977073000, Cliente 1]
e0afa2ea-e2b3-4f76-9ff6-d21a24a3f60b, [20:17:16:977:73036977:977073000, Cliente 1]
6a9d0264-f142-4ab9-84d3-3ef5fcc594cc, [20:17:16:977:73036977:977073000, Cliente 1]
559111fb-b922-4bb0-b82e-4df82b4dd159, [20:17:16:977:73036977:977073000, Cliente 1]
54b498ac-f64c-45eb-9fe9-da993cfc608a, [20:17:16:977:73036977:977073000, Cliente 1]
8d7101e2-5c48-484c-8cf9-32e9d2114d84, [20:17:16:977:73036977:977073000, Cliente 1]
886c01d8-8cf1-4518-833e-34a9ea4dec97, [20:17:16:977:73036977:977073000, Cliente 1]
a70298d6-4002-4476-a1b0-9aa0d92d5729, [20:17:16:977:73036977:977073000, Cliente 1]
1e516eea-008b-45e6-9787-42068ece305f, [20:17:16:977:73036977:977073000, Cliente 1]
deb1bcac-ea9a-4e38-94dd-26e48d8df36c, [20:17:16:977:73036977:977073000, Cliente 1]
020afc98-2cd1-4d55-9ff9-3c0537aa450a, [20:17:16:977:73036977:977073000, Cliente 1]
d5c03474-55c3-4295-8963-18017b127f1a, [20:17:16:977:73036977:977073000, Cliente 1]
92bcce3a-4eca-4ade-896a-8021de019f33, [20:17:16:977:73036977:977073000, Cliente 1]
781116bf-e301-4dae-916d-7fa7d48afd46, [20:17:16:977:73036977:977073000, Cliente 1]
8b7cf931-1fef-40e0-8c3d-437afbf26042, [20:17:16:977:73036977:977073000, Cliente 1]
891945c5-2779-4ff2-9890-ad83718b0f7c, [20:17:16:977:73036977:977073000, Cliente 1]
61217c66-2e43-4c14-9423-108f268abb9d, [20:17:16:977:73036977:977073000, Cliente 1]
a2c0eead-90e7-4107-b627-288b3a4736f3, [20:17:16:977:73036977:977073000, Cliente 1]
6d81116e-7e97-42ca-98b6-548bed125b92, [20:17:16:977:73036977:977073000, Cliente 1]
81a1f055-2e31-4ab7-a118-9e33ee3e730d, [20:17:16:977:73036977:977073000, Cliente 1]
62203716-f460-43f6-acb9-69321c5e54ee, [20:17:16:977:73036977:977073000, Cliente 1]
b1aebd62-dc24-4ee8-a55c-8c21622b6b70, [20:17:16:977:73036977:977073000, Cliente 1]
562b1b5d-5305-44aa-854d-d6a63a38354f, [20:17:16:977:73036977:977073000, Cliente 1]
1b1019cf-6a85-4385-92b9-1ce09892531d, [20:17:16:977:73036977:977073000, Cliente 1]
a61105bc-92bf-45bc-b0b5-0f836e38b16d, [20:17:16:977:73036977:977073000, Cliente 1]
069f8fd5-6767-4d1c-892f-4f6d4b1d74ef, [20:17:16:977:73036977:977073000, Cliente 1]
5e7659d6-b671-43ec-a75a-b78d13293444, [20:17:16:977:73036977:977073000, Cliente 1]
ebd7c4de-f009-4283-9542-a7bc8c11cde9, [20:17:16:977:73036977:977073000, Cliente 1]
71ae24e2-dabd-4745-91f2-3f6a6865e358, [20:17:16:977:73036977:977073000, Cliente 1]
245a2786-c578-46e9-bd94-e32a9dd75400, [20:17:16:977:73036977:977073000, Cliente 1]
9fecbcbf-8cf0-4eb0-8ac4-09eb7845e6ca, [20:17:16:977:73036977:977073000, Cliente 1]
2433efa5-1c63-476e-935a-56408536af56, [20:17:16:977:73036977:977073000, Cliente 1]
e3431242-c371-4474-aeb2-ef01802a7088, [20:17:16:977:73036977:977073000, Cliente 1]
515dd196-c3da-451b-9031-313df968276a, [20:17:16:977:73036977:977073000, Cliente 1]
32d7b93b-d44e-4e5e-8126-862c1fc3dd22, [20:17:16:977:73036977:977073000, Cliente 1]
a571a564-a945-46af-9b04-99a85bcc27ca, [20:17:16:977:73036977:977073000, Cliente 1]
14dbba20-dcd7-4d91-a982-49268b705f0a, [20:17:16:977:73036977:977073000, Cliente 1]
44b9d09c-d218-4c98-8340-f018153a810a, [20:17:16:977:73036977:977073000, Cliente 1]
5e85db19-01fa-48ed-938d-f74b917d3339, [20:17:16:977:73036977:977073000, Cliente 1]
bca284bb-35fa-4351-8429-57de89e3d604, [20:17:17:978:73037978:978830000, Cliente 2]
41623f82-d7f1-448b-bd2d-8a753b3b8a94, [20:17:17:978:73037978:978830000, Cliente 2]
9f74a1c6-300c-4f7a-9260-dc4bbb97efe2, [20:17:17:978:73037978:978830000, Cliente 2]
bf8dc8b7-810c-4202-8219-d6b339a2820a, [20:17:17:978:73037978:978830000, Cliente 2]
234e6e55-4584-4f4c-a3d4-6241e0335318, [20:17:17:978:73037978:978830000, Cliente 2]
d210a836-1cd4-4e37-b538-e2a7e8e69b43, [20:17:17:978:73037978:978830000, Cliente 2]
35559948-2f2c-492a-9f4b-9c1cae80825c, [20:17:17:978:73037978:978830000, Cliente 2]
0490a0dd-9d8f-4318-9e4c-a6884ac7d90f, [20:17:17:978:73037978:978830000, Cliente 2]
3286cc4e-9297-4dbf-88d4-1b60eaf4d294, [20:17:17:978:73037978:978830000, Cliente 2]
5c856a89-3c43-4abc-bd5f-10adf9079700, [20:17:17:978:73037978:978830000, Cliente 2]
2f1c86c4-4224-4c68-bf71-ae38b924983f, [20:17:17:978:73037978:978830000, Cliente 2]
f60951eb-c687-450b-814a-a7b466bb9fae, [20:17:17:978:73037978:978830000, Cliente 2]
9299eeb5-c154-4c3f-8978-387632c38c01, [20:17:17:978:73037978:978830000, Cliente 2]
be453418-03af-4caf-b84f-c48498996d18, [20:17:17:978:73037978:978830000, Cliente 2]
565d2c82-6787-4b67-abe2-62b42e7318c7, [20:17:17:978:73037978:978830000, Cliente 2]
53a66c34-3c78-4ad4-9863-a914605c3d39, [20:17:17:978:73037978:978830000, Cliente 2]
3ca63fa4-26bc-4fd4-9273-0fac25ed3cf8, [20:17:17:978:73037978:978830000, Cliente 2]
f34291b4-c24e-4320-a01b-378d33a2f12a, [20:17:17:978:73037978:978830000, Cliente 2]
6792e24c-63b2-439d-a67f-358d0d566239, [20:17:17:978:73037978:978830000, Cliente 2]
404cacbe-8927-4489-8703-97cc7b90e9d3, [20:17:17:978:73037978:978830000, Cliente 2]
12a24a23-316b-4ce7-a952-74a6a0054c7a, [20:17:17:978:73037978:978830000, Cliente 2]
d4eaf2d5-6919-496a-aaff-0b7ee2cc3a2e, [20:17:17:978:73037978:978830000, Cliente 2]
4a35409c-fdef-44ca-9442-eb7a39bdde71, [20:17:17:978:73037978:978830000, Cliente 2]
56fa7126-3b6c-4db6-ab32-4c7b49afe55e, [20:17:17:978:73037978:978830000, Cliente 2]
bab590ec-24c6-4ade-9681-477f1494eedb, [20:17:17:978:73037978:978830000, Cliente 2]
6a5151c9-9709-4fcc-a8af-90383cdacbdb, [20:17:17:978:73037978:978830000, Cliente 2]
e01e098c-1fe4-48e7-bf9b-412f709471e0, [20:17:17:978:73037978:978830000, Cliente 2]
a0b491bb-cadc-4d99-9979-b7156cd919f8, [20:17:17:978:73037978:978830000, Cliente 2]
37165535-1705-4ab7-9ad9-eb0a17f8eefb, [20:17:17:978:73037978:978830000, Cliente 2]
39ad9219-fab0-4d6c-b9cb-2eb40b663d17, [20:17:17:978:73037978:978830000, Cliente 2]
c35cf533-bb74-4757-adc0-5800c4c05757, [20:17:17:978:73037978:978830000, Cliente 2]
92e8484c-1e2f-42c7-ac6a-659f10bd17ad, [20:17:17:978:73037978:978830000, Cliente 2]
9f2645b0-75bd-423e-a494-f0d63c0d9d0e, [20:17:17:978:73037978:978830000, Cliente 2]
c295f9d9-33cb-4196-a2bc-8e96ccc773ac, [20:17:17:978:73037978:978830000, Cliente 2]
d558312e-d76b-4b81-be87-b4e713c42b1e, [20:17:17:978:73037978:978830000, Cliente 2]
7c70eff0-6bf9-4d23-8f1d-d610e2ffd5bd, [20:17:17:978:73037978:978830000, Cliente 2]
