4ca7a654-74e7-4aa5-8534-229e343b2a07, [19:47:59:947:71279947:947798000, Cliente 1]
5969a0da-11d7-4a52-966f-bf8c8d2134dd, [19:47:59:947:71279947:947798000, Cliente 1]
e5f22346-8084-43ca-a3eb-a313778f4138, [19:47:59:947:71279947:947798000, Cliente 1]
bb380722-4379-43b0-b0ab-65e32e99cf91, [19:47:59:947:71279947:947798000, Cliente 1]
b7bda1d8-ecc4-4b0c-9222-2fbd7138f192, [19:47:59:947:71279947:947798000, Cliente 1]
c5a4d558-da0c-40e4-b755-5e8e4e2594d4, [19:47:59:947:71279947:947798000, Cliente 1]
2043ff54-0c53-44d7-ad4e-ef5dee96a6f6, [19:47:59:947:71279947:947798000, Cliente 1]
538877d0-8242-455b-8c3d-cfcd321bd3b5, [19:47:59:947:71279947:947798000, Cliente 1]
0b193037-b92b-42a9-b53b-a916e5f3a9f2, [19:47:59:947:71279947:947798000, Cliente 1]
a10b5578-e1a7-43ad-a025-cb587f004398, [19:47:59:947:71279947:947798000, Cliente 1]
89f2a125-67ad-484c-b31a-acfd133030cb, [19:47:59:947:71279947:947798000, Cliente 1]
05e04aed-d39d-47e2-ac67-24bc4f204769, [19:47:59:947:71279947:947798000, Cliente 1]
baf11cbe-f76e-4d91-8d36-1ef83a48ec4b, [19:47:59:947:71279947:947798000, Cliente 1]
61a04c89-e02b-4b5f-a8ce-ee12155cc789, [19:47:59:947:71279947:947798000, Cliente 1]
1a438294-908c-414e-9f6b-21ad95b71c30, [19:47:59:947:71279947:947798000, Cliente 1]
d38b980a-f3f0-407a-b527-f0e0c8e7f542, [19:47:59:947:71279947:947798000, Cliente 1]
98922cfe-c215-4a0d-b4a9-b10946e5fbc2, [19:47:59:947:71279947:947798000, Cliente 1]
d68e27e9-125e-4717-ad54-1a01efa9c38e, [19:47:59:947:71279947:947798000, Cliente 1]
e338a406-50a9-4dea-a5ed-f8873ccf471b, [19:47:59:947:71279947:947798000, Cliente 1]
e5718028-5b7c-4a5a-9877-322b70e8b97d, [19:47:59:947:71279947:947798000, Cliente 1]
5b1be139-2af8-4d3e-b7e5-e8ca743ad0d8, [19:47:59:947:71279947:947798000, Cliente 1]
ff82068d-f9f0-47d4-9578-7d796ae06207, [19:47:59:947:71279947:947798000, Cliente 1]
0e36f551-5e44-458a-83cb-2c21057e17d1, [19:47:59:947:71279947:947798000, Cliente 1]
4266f870-6b02-44bb-9f0e-969ef33bcaf7, [19:47:59:947:71279947:947798000, Cliente 1]
d589d26d-88d4-45fa-bfed-972c6d41575a, [19:47:59:947:71279947:947798000, Cliente 1]
b79c8398-da9e-4de0-ba7b-b76a2da76405, [19:47:59:947:71279947:947798000, Cliente 1]
98a22490-9e25-4ca6-ba2a-cb550d50bc1f, [19:47:59:947:71279947:947798000, Cliente 1]
ce39fe0d-a549-4ee1-9dee-98f709e6c2a8, [19:47:59:947:71279947:947798000, Cliente 1]
8d01b9e0-8661-4963-8296-9caa94ee4785, [19:47:59:947:71279947:947798000, Cliente 1]
06129f26-e070-4e86-b8fc-2d8c798b12de, [19:47:59:947:71279947:947798000, Cliente 1]
a9d9c27a-baca-471d-94cc-ab6df9015cdb, [19:47:59:947:71279947:947798000, Cliente 1]
2173c119-da3c-47e9-bfd2-e675342a9bdd, [19:47:59:947:71279947:947798000, Cliente 1]
91fe64f3-d7af-48a8-bb84-e8a23af77988, [19:47:59:947:71279947:947798000, Cliente 1]
f500d003-2267-4273-b982-3b1bf52999ce, [19:47:59:947:71279947:947798000, Cliente 1]
e4dae577-fe65-47cb-bbd7-95fec4793f76, [19:47:59:947:71279947:947798000, Cliente 1]
7f218a87-7f04-44df-a88a-beaa0b8a8663, [19:47:59:947:71279947:947798000, Cliente 1]
1e37a38b-9c17-47c4-8ed0-d29c410723b7, [19:47:59:947:71279947:947798000, Cliente 1]
6a098234-4a29-4f57-bf42-f3ddc7c03b48, [19:47:59:947:71279947:947798000, Cliente 1]
4c058462-c6fb-4dc3-b92b-2a643d968b20, [19:47:59:947:71279947:947798000, Cliente 1]
ad9f489b-79a9-41df-b87e-83a16aebd773, [19:47:59:947:71279947:947798000, Cliente 1]
01c666e4-e08d-4085-bbfa-02b38c0a52c0, [19:48:00:960:71280960:960173000, Cliente 2]
98be6783-086f-4e8c-b0a1-652c3d3cb487, [19:48:00:960:71280960:960173000, Cliente 2]
9ec19d3d-8b63-4837-a585-177252424f4f, [19:48:00:960:71280960:960173000, Cliente 2]
ee23d275-b5f6-4123-a182-66197fa8cfb3, [19:48:00:960:71280960:960173000, Cliente 2]
b2a7aa12-d5e2-48c6-9832-f2c9da232dfd, [19:48:00:960:71280960:960173000, Cliente 2]
f9b3b8e5-65df-4ceb-b6c3-a1320bf91c58, [19:48:00:960:71280960:960173000, Cliente 2]
ddb42516-7dd9-4aba-a385-18e050b7cc26, [19:48:00:960:71280960:960173000, Cliente 2]
e1b296f9-5947-4f55-8bb0-0e4d86074c4d, [19:48:00:960:71280960:960173000, Cliente 2]
889b4de2-ff30-4d36-a042-060c711333ce, [19:48:00:960:71280960:960173000, Cliente 2]
d1642e74-0645-48bc-b4fc-a50e1f1b0885, [19:48:00:960:71280960:960173000, Cliente 2]
b4c44fe8-38fa-46de-a97e-0d1cdd90ac00, [19:48:00:960:71280960:960173000, Cliente 2]
db5f5386-7fc1-4851-b4fb-d257e5d5d1bb, [19:48:00:960:71280960:960173000, Cliente 2]
ffe35fcc-5358-491a-8766-ca71d8b3fa6c, [19:48:00:960:71280960:960173000, Cliente 2]
eef3d6ef-ecbb-4550-88e2-6448bdbb042e, [19:48:00:960:71280960:960173000, Cliente 2]
d06f8678-7a4c-428f-ae57-086be503c14e, [19:48:00:960:71280960:960173000, Cliente 2]
761b9ed8-8099-454e-9132-ad71bdbb8257, [19:48:00:960:71280960:960173000, Cliente 2]
cf5a5ffc-a007-47e3-b8e4-e1f87150fcf9, [19:48:00:960:71280960:960173000, Cliente 2]
e3e17b47-0469-451c-b30c-8c5373619f75, [19:48:00:960:71280960:960173000, Cliente 2]
78ed6dc9-cb19-422c-a7a1-afa117ad777c, [19:48:00:960:71280960:960173000, Cliente 2]
6bf752d5-2460-4a66-829f-949063e25a46, [19:48:00:960:71280960:960173000, Cliente 2]
212f85ff-8a70-4b46-8099-2282d463b479, [19:48:00:960:71280960:960173000, Cliente 2]
7c3fa28e-0719-4da9-9730-7190582c2787, [19:48:00:960:71280960:960173000, Cliente 2]
24f4984b-230a-41b5-abe5-2922a72166f1, [19:48:00:960:71280960:960173000, Cliente 2]
d431640b-3d0c-4a66-9503-0c42d46faaf4, [19:48:00:960:71280960:960173000, Cliente 2]
2609057f-2650-4a6f-8735-a805f5c3fb20, [19:48:00:960:71280960:960173000, Cliente 2]
6d19e0f7-0372-4f04-993f-dc9ad63fac93, [19:48:00:960:71280960:960173000, Cliente 2]
bbb8e0d8-76a2-4fec-b07c-2abefff5b424, [19:48:00:960:71280960:960173000, Cliente 2]
336bd3c4-7bb7-44bd-94d1-59ff8974d540, [19:48:00:960:71280960:960173000, Cliente 2]
e41e45c4-4dba-4d7a-89dc-e54d3cc8fcd5, [19:48:00:960:71280960:960173000, Cliente 2]
52110cc3-63f0-4ac4-84db-e69b29e9df58, [19:48:00:960:71280960:960173000, Cliente 2]
3add4edc-9977-4fb3-807a-6a84cc689aaa, [19:48:00:960:71280960:960173000, Cliente 2]
a4ad5133-cd3d-4caa-bdff-ef4f9a22d525, [19:48:00:960:71280960:960173000, Cliente 2]
14d96db3-c139-4185-aa6c-35e072f9d55d, [19:48:00:960:71280960:960173000, Cliente 2]
e2f88ede-0369-4220-8b0e-6ecddc629c4b, [19:48:00:960:71280960:960173000, Cliente 2]
3c809b83-0938-4c9b-b76f-8f13e11611b0, [19:48:00:960:71280960:960173000, Cliente 2]
41300a86-1f95-46f1-b079-4cc0e3ed73e3, [19:48:00:960:71280960:960173000, Cliente 2]
96429aab-04d3-4a1e-81ce-de50c7528bcd, [19:48:00:960:71280960:960173000, Cliente 2]
a753178f-5a3f-4641-a902-bb59b893b4e5, [19:48:00:960:71280960:960173000, Cliente 2]
f452a088-1b30-4ed9-b66d-765a64d1efaa, [19:48:00:960:71280960:960173000, Cliente 2]
1383eae1-b96c-4183-98e5-b22d8508def1, [19:48:00:960:71280960:960173000, Cliente 2]
e3f6447c-93a2-4832-9667-91834c64de69, [19:48:00:960:71280960:960173000, Cliente 2]
9f134280-cb6f-4d99-9439-6b9c103a72b5, [19:48:00:960:71280960:960173000, Cliente 2]
4ba42300-2fe0-43aa-99e6-b5dc7d64cfbb, [19:48:00:960:71280960:960173000, Cliente 2]
2523fd46-40fb-4f85-976f-fe5db752a294, [19:48:00:960:71280960:960173000, Cliente 2]
dcb74ab7-f9e1-4547-bbf3-d8c20f41b612, [19:48:00:960:71280960:960173000, Cliente 2]
d383b2b8-4d55-42d6-b425-5907d43d44e1, [19:48:00:960:71280960:960173000, Cliente 2]
f819c9aa-86e9-47eb-bd69-4b146694782c, [19:48:00:960:71280960:960173000, Cliente 2]
efcaf898-7341-4648-85f2-2636d949c14a, [19:48:00:960:71280960:960173000, Cliente 2]
4a0ebd8f-92ed-4a6f-ae27-257c0cf8ff0f, [19:48:00:960:71280960:960173000, Cliente 2]
bf5e2842-87b3-4485-bc35-8266378046c7, [19:48:00:960:71280960:960173000, Cliente 2]
aee84cdd-ffee-4863-a145-5bb1a1ae682f, [19:48:01:950:71281950:950586000, Cliente 3]
25702443-0273-4ff2-9276-34b4c42f8ddd, [19:48:01:950:71281950:950586000, Cliente 3]
1af42789-417e-4f84-b86a-5c8aa6419895, [19:48:01:950:71281950:950586000, Cliente 3]
4039545d-b0c0-43be-be81-43e07d41579b, [19:48:01:950:71281950:950586000, Cliente 3]
09e45428-eba5-49af-8314-4699bd395a77, [19:48:01:950:71281950:950586000, Cliente 3]
dc6304a5-ec3b-4fda-b2db-8f51f6634ffe, [19:48:01:950:71281950:950586000, Cliente 3]
382b9442-d185-4749-ba3e-a434a9ae7f39, [19:48:01:950:71281950:950586000, Cliente 3]
f20e3a13-ef14-426e-b569-9a8eddd81c32, [19:48:01:950:71281950:950586000, Cliente 3]
bf8a7c56-e5cb-4963-ba71-ea9edcf90b9e, [19:48:01:950:71281950:950586000, Cliente 3]
16ad1af1-843a-400b-a0f8-09ef12ccd1a6, [19:48:01:950:71281950:950586000, Cliente 3]
26171e66-2281-4d07-ba6b-c70ea7c7a07b, [19:48:01:950:71281950:950586000, Cliente 3]
941483c8-c66a-4215-a6da-1a4c8e031f46, [19:48:01:950:71281950:950586000, Cliente 3]
7616aeb0-f040-4930-9a8a-7a2b192f8c28, [19:48:01:950:71281950:950586000, Cliente 3]
281d3513-e0ae-4212-89c7-7b428f0dfda9, [19:48:01:950:71281950:950586000, Cliente 3]
47e9a1e9-18b5-4f18-b926-0450f7465475, [19:48:01:950:71281950:950586000, Cliente 3]
d1ff6ab1-efe7-451a-a175-1e6e78e8e445, [19:48:01:950:71281950:950586000, Cliente 3]
b1fc9ab8-fe33-4f67-8d93-f5c89c8603ce, [19:48:01:950:71281950:950586000, Cliente 3]
103e0291-c240-404b-ba87-f955013df770, [19:48:01:950:71281950:950586000, Cliente 3]
0524b018-970c-4c1a-b3d5-acc33a0601b9, [19:48:01:950:71281950:950586000, Cliente 3]
a05a5690-8cf6-4270-be21-b8a47ace717b, [19:48:01:950:71281950:950586000, Cliente 3]
165e3dcf-8ab4-4012-828f-f9fa94693235, [19:48:01:950:71281950:950586000, Cliente 3]
5c496bb2-c3fe-4891-b8e2-fa0645eea0ba, [19:48:01:950:71281950:950586000, Cliente 3]
3a2b3ef3-a5d3-4f5e-a619-538c282fae48, [19:48:01:950:71281950:950586000, Cliente 3]
c3f186ba-8c03-4edc-8ad9-f49f33a8c728, [19:48:01:950:71281950:950586000, Cliente 3]
b9111b98-b533-48fd-8320-121d7f0b6400, [19:48:01:950:71281950:950586000, Cliente 3]
ceff73d6-e1c8-4e95-aec3-063a630c7171, [19:48:01:950:71281950:950586000, Cliente 3]
8ff1575b-e83b-4946-8e77-77bf4bfa4f12, [19:48:01:950:71281950:950586000, Cliente 3]
9474a1ff-323e-4ca4-95b5-bdeb3438b579, [19:48:01:950:71281950:950586000, Cliente 3]
